Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
31.923077,19.016033,78.0,13.0,31.923076923076923,23.32558,11.887497,87.0,9.0,23.325581395348838,-0.004043600056320429,4012,0.9579391479492188,23.32558,0
38.636364,23.738243,82.0,11.0,38.63636363636363,33.55372,17.183958,103.0,10.0,33.553719008264466,-0.009803502820432186,8072,1.822394609451294,,1
54.125,24.710512,107.0,27.0,54.125,42.67021,24.64574,169.0,10.0,42.670212765957444,-0.009396182373166084,12083,2.595160722732544,,2
58.857143,31.210934,122.0,19.0,58.857142857142854,47.094116,22.524563,132.0,12.0,47.09411764705882,-0.011102145537734032,16086,3.349618911743164,,3
76.0,13.089436,93.0,59.0,76.0,57.62857,25.850765,150.0,16.0,57.628571428571426,-0.007597825955599546,20120,4.104142189025879,,4
58.0,19.931131,95.0,38.0,58.0,61.753845,24.529438,123.0,20.0,61.753846153846155,-0.010903324000537395,24134,4.8655781745910645,,5
70.5,24.445517,117.0,37.0,70.5,75.76363,34.56376,181.0,34.0,75.76363636363637,-0.003528222441673279,28301,5.64318323135376,,6
103.75,28.3582,152.0,80.0,103.75,77.82692,36.41466,200.0,28.0,77.82692307692308,-0.0033475954551249743,32348,6.409141540527344,,7
106.0,19.403608,131.0,77.0,106.0,87.847824,38.77357,200.0,30.0,87.84782608695652,-0.002317714039236307,36389,7.144634485244751,,8
113.0,50.568764,179.0,54.0,113.0,101.25,38.643078,200.0,33.0,101.25,-0.00561455637216568,40439,7.899140119552612,,9
136.33333,16.779617,160.0,123.0,136.33333333333334,103.28205,43.541874,200.0,32.0,103.28205128205128,-0.0008110235212370753,44467,8.621373176574707,,10
147.66667,37.24991,197.0,107.0,147.66666666666666,134.93333,39.484962,200.0,67.0,134.93333333333334,-0.0027965011540800333,48515,9.410551071166992,,11
148.66667,36.33486,200.0,121.0,148.66666666666666,166.68,28.354498,200.0,95.0,166.68,-0.0035419443156570196,52682,10.184015035629272,,12
