Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
26.0625,12.749846,54.0,10.0,26.0625,22.852272,13.230509,73.0,9.0,22.852272727272727,21.056962966918945,4022,1.0134944915771484,22.852272,0
50.9,48.55399,154.0,10.0,50.9,29.74074,14.572915,122.0,10.0,29.74074074074074,24.635330200195312,8037,1.9517786502838135,,1
40.416668,22.466488,92.0,14.0,40.416666666666664,40.203884,23.520847,144.0,12.0,40.20388349514563,34.97604751586914,12178,2.7455310821533203,,2
55.5,19.21588,96.0,35.0,55.5,47.2093,21.548819,122.0,15.0,47.2093023255814,35.93162155151367,16238,3.53124737739563,,3
57.42857,14.831021,84.0,38.0,57.42857142857143,54.45946,25.52751,134.0,14.0,54.45945945945946,41.13982391357422,20268,4.284393787384033,,4
84.0,39.012817,153.0,32.0,84.0,65.16129,32.563683,199.0,22.0,65.16129032258064,48.67538833618164,24308,5.068919897079468,,5
87.2,26.248047,122.0,48.0,87.2,65.29032,29.38915,162.0,28.0,65.29032258064517,45.61705017089844,28356,5.855035781860352,,6
64.71429,21.164083,110.0,40.0,64.71428571428571,70.789474,24.148472,144.0,29.0,70.78947368421052,45.22273254394531,32391,6.618915319442749,,7
75.166664,18.279467,102.0,49.0,75.16666666666667,91.454544,35.940895,200.0,38.0,91.45454545454545,59.64728546142578,36415,7.393692493438721,,8
84.6,34.40116,143.0,44.0,84.6,91.0,38.720078,200.0,29.0,91.0,58.983577728271484,40510,8.169469594955444,,9
83.2,34.850536,144.0,47.0,83.2,87.391304,26.656818,152.0,49.0,87.3913043478261,51.73634338378906,44530,8.921971797943115,,10
134.66667,44.454723,194.0,87.0,134.66666666666666,121.63636,50.86692,200.0,47.0,121.63636363636364,76.84892272949219,48544,9.660350799560547,,11
167.0,34.727512,200.0,119.0,167.0,135.2,38.52739,200.0,68.0,135.2,75.70128631591797,52600,10.439971208572388,,12
122.75,52.7654,179.0,42.0,122.75,149.66667,37.044518,200.0,57.0,149.66666666666666,83.49930572509766,56641,11.265208005905151,,13
171.33333,16.027754,194.0,160.0,171.33333333333334,165.72,28.473877,200.0,84.0,165.72,87.4050521850586,60784,12.098586559295654,,14
144.66667,30.169888,166.0,102.0,144.66666666666666,152.85185,29.901943,200.0,107.0,152.85185185185185,81.07482147216797,64911,12.905839443206787,,15
143.33333,28.778849,182.0,113.0,143.33333333333334,158.38461,29.602594,200.0,110.0,158.3846153846154,83.34658813476562,69029,13.71693730354309,,16
171.0,41.01219,200.0,113.0,171.0,161.03847,22.425056,200.0,116.0,161.03846153846155,81.45418548583984,73216,14.57162356376648,,17
147.0,39.555866,200.0,105.0,147.0,168.70833,29.188295,200.0,120.0,168.70833333333334,85.32706451416016,77265,15.329920053482056,,18
182.66667,9.977754,196.0,172.0,182.66666666666666,162.92,33.944565,200.0,101.0,162.92,83.21199035644531,81338,16.093148946762085,,19
161.0,32.259365,200.0,121.0,161.0,174.47826,33.22109,200.0,108.0,174.47826086956522,88.42996978759766,85351,16.8515202999115,,20
147.0,23.366642,165.0,114.0,147.0,177.34782,23.388231,200.0,122.0,177.34782608695653,88.50460815429688,89430,17.615822315216064,,21
188.66667,8.993825,200.0,178.0,188.66666666666666,167.45833,34.663837,200.0,87.0,167.45833333333334,82.68421936035156,93449,18.38304877281189,,22
173.33333,37.71236,200.0,120.0,173.33333333333334,184.13637,25.928741,200.0,101.0,184.13636363636363,90.79803466796875,97500,19.161866426467896,,23
166.66667,24.07396,200.0,144.0,166.66666666666666,184.22728,21.441105,200.0,136.0,184.22727272727272,89.57543182373047,101553,19.92786717414856,,24
167.33333,27.824848,200.0,132.0,167.33333333333334,174.82608,29.004728,200.0,102.0,174.82608695652175,84.0968017578125,105574,20.68213725090027,,25
179.0,21.181753,200.0,150.0,179.0,164.44,37.07083,200.0,90.0,164.44,81.36946105957031,109685,21.483710289001465,,26
166.66667,26.562294,200.0,135.0,166.66666666666666,161.56,33.832623,200.0,101.0,161.56,80.53987121582031,113724,22.27834939956665,,27
150.33333,15.923428,164.0,128.0,150.33333333333334,159.57692,38.018387,200.0,94.0,159.57692307692307,79.7873764038086,117873,23.088500022888184,,28
145.66667,15.062832,166.0,130.0,145.66666666666666,148.33333,38.692516,200.0,85.0,148.33333333333334,75.0935287475586,121878,23.87238621711731,,29
143.0,37.47888,194.0,105.0,143.0,158.1923,36.012836,200.0,91.0,158.19230769230768,77.01006317138672,125991,24.63561749458313,,30
143.0,38.444767,196.0,106.0,143.0,149.2963,38.172916,200.0,84.0,149.2962962962963,72.25704956054688,130022,25.374663829803467,,31
174.66667,35.826744,200.0,124.0,174.66666666666666,163.2,35.861958,200.0,99.0,163.2,78.35588836669922,134102,26.142681121826172,,32
200.0,0.0,200.0,200.0,200.0,174.08333,31.460184,200.0,108.0,174.08333333333334,81.12222290039062,138280,26.902472734451294,,33
187.33333,17.913372,200.0,162.0,187.33333333333334,181.08696,24.182121,200.0,106.0,181.08695652173913,83.68838500976562,142445,27.689698696136475,,34
177.66667,17.326921,195.0,154.0,177.66666666666666,182.39131,26.788609,200.0,88.0,182.3913043478261,83.76943969726562,146640,28.472470998764038,,35
197.0,4.2426405,200.0,191.0,197.0,183.77272,23.53514,200.0,123.0,183.77272727272728,83.8102035522461,150683,29.237449169158936,,36
168.33333,7.586538,176.0,158.0,168.33333333333334,174.73914,26.750404,200.0,124.0,174.7391304347826,80.14008331298828,154702,29.984687566757202,,37
154.33333,45.536312,189.0,90.0,154.33333333333334,167.52,34.498833,200.0,94.0,167.52,77.91726684570312,158890,30.750082969665527,,38
200.0,0.0,200.0,200.0,200.0,161.11539,35.93191,200.0,108.0,161.1153846153846,73.05530548095703,163079,31.54796028137207,,39
146.33333,38.317387,200.0,113.0,146.33333333333334,164.56,36.52405,200.0,91.0,164.56,76.4090347290039,167193,32.3371376991272,,40
140.66667,42.08193,200.0,107.0,140.66666666666666,161.52,38.497917,200.0,100.0,161.52,75.3042984008789,171231,33.110989570617676,,41
168.33333,33.48963,200.0,122.0,168.33333333333334,154.33333,34.072906,200.0,102.0,154.33333333333334,69.07077026367188,175398,33.9196937084198,,42
168.0,25.72936,200.0,137.0,168.0,174.21739,34.88236,200.0,102.0,174.2173913043478,78.69322967529297,179405,34.68666934967041,,43
194.66667,7.542472,200.0,184.0,194.66666666666666,165.2,30.688108,200.0,103.0,165.2,71.45691680908203,183535,35.4647216796875,,44
184.33333,20.757864,200.0,155.0,184.33333333333334,177.39131,33.10292,200.0,102.0,177.3913043478261,74.60311126708984,187615,36.233176946640015,,45
182.66667,18.51726,200.0,157.0,182.66666666666666,180.52174,24.025114,200.0,122.0,180.52173913043478,73.9295654296875,191767,37.02403974533081,,46
200.0,0.0,200.0,200.0,200.0,189.54546,17.298782,200.0,139.0,189.54545454545453,75.65304565429688,195937,37.779934883117676,,47
195.0,7.071068,200.0,185.0,195.0,190.5,23.262827,200.0,91.0,190.5,74.65526580810547,200128,38.57902789115906,,48
200.0,0.0,200.0,200.0,200.0,193.66667,11.760844,200.0,161.0,193.66666666666666,72.59387969970703,204195,39.32496500015259,,49
199.66667,0.4714045,200.0,199.0,199.66666666666666,187.68182,20.981346,200.0,123.0,187.6818181818182,72.1014633178711,208324,40.100377559661865,,50
152.33333,33.72767,200.0,127.0,152.33333333333334,187.45454,22.184612,200.0,115.0,187.45454545454547,70.8045425415039,212448,40.857139348983765,,51
155.66667,38.560196,200.0,106.0,155.66666666666666,170.58333,32.384304,200.0,102.0,170.58333333333334,66.82490539550781,216542,41.60947251319885,,52
142.33333,42.034378,200.0,101.0,142.33333333333334,156.34616,32.46056,200.0,111.0,156.34615384615384,59.82017135620117,220607,42.351388454437256,,53
177.33333,32.055508,200.0,132.0,177.33333333333334,171.70833,38.628014,200.0,101.0,171.70833333333334,67.16178131103516,224728,43.116066217422485,,54
142.66667,40.54901,200.0,113.0,142.66666666666666,157.3077,33.99295,200.0,106.0,157.30769230769232,59.303062438964844,228818,43.866018533706665,,55
186.33333,19.327585,200.0,159.0,186.33333333333334,171.95833,31.077162,200.0,123.0,171.95833333333334,67.09552764892578,232945,44.635069131851196,,56
200.0,0.0,200.0,200.0,200.0,184.31818,25.930655,200.0,129.0,184.3181818181818,72.20340728759766,237000,45.37272763252258,,57
187.66667,17.441967,200.0,163.0,187.66666666666666,194.71428,16.292397,200.0,144.0,194.71428571428572,73.89701843261719,241089,46.13370323181152,,58
169.33333,22.23111,200.0,148.0,169.33333333333334,184.27272,21.538935,200.0,142.0,184.27272727272728,68.16654968261719,245143,46.88351058959961,,59
163.66667,25.69479,200.0,145.0,163.66666666666666,173.04167,25.476261,200.0,128.0,173.04166666666666,67.1484603881836,249296,47.64656591415405,,60
164.66667,4.784233,169.0,158.0,164.66666666666666,158.88461,19.014826,200.0,133.0,158.8846153846154,60.44734573364258,253427,48.40660524368286,,61
145.66667,5.7927155,152.0,138.0,145.66666666666666,154.8077,17.108295,197.0,133.0,154.80769230769232,57.63034439086914,257452,49.13824510574341,,62
169.33333,13.96026,189.0,158.0,169.33333333333334,151.40741,15.713309,182.0,122.0,151.40740740740742,54.658512115478516,261540,49.894503116607666,,63
136.66667,7.586538,147.0,129.0,136.66666666666666,156.07692,14.675786,190.0,132.0,156.07692307692307,56.53691101074219,265598,50.62377142906189,,64
156.66667,6.5996633,164.0,148.0,156.66666666666666,162.16,16.452793,194.0,138.0,162.16,58.52670669555664,269652,51.36549973487854,,65
147.66667,4.9216075,154.0,142.0,147.66666666666666,151.77777,12.988123,175.0,121.0,151.77777777777777,53.60393142700195,273750,52.15702152252197,,66
157.66667,6.5996633,165.0,149.0,157.66666666666666,146.64285,14.273388,174.0,126.0,146.64285714285714,51.222740173339844,277856,52.956523418426514,,67
168.33333,9.104334,181.0,160.0,168.33333333333334,151.51852,15.938238,180.0,123.0,151.5185185185185,52.64600372314453,281947,53.76020956039429,,68
171.0,11.518102,186.0,158.0,171.0,153.88461,15.312958,197.0,126.0,153.8846153846154,53.459896087646484,285948,54.550501346588135,,69
181.0,14.165687,200.0,166.0,181.0,175.78261,19.300724,200.0,135.0,175.7826086956522,58.615787506103516,289991,55.33745622634888,,70
197.33333,3.771236,200.0,192.0,197.33333333333334,181.21739,16.3759,200.0,152.0,181.2173913043478,59.77589416503906,294159,56.12054753303528,,71
200.0,0.0,200.0,200.0,200.0,185.54546,11.915334,200.0,162.0,185.54545454545453,60.21371841430664,298241,56.85945963859558,,72
200.0,0.0,200.0,200.0,200.0,195.95238,8.020666,200.0,171.0,195.95238095238096,64.48577880859375,302356,57.605430126190186,,73
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,60.37239456176758,306356,58.32877993583679,,74
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,63.42087173461914,310356,59.0514075756073,,75
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,63.64743423461914,314356,59.79692006111145,,76
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,62.10211181640625,318356,60.52092266082764,,77
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,58.23748779296875,322356,61.248082637786865,,78
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,61.8231315612793,326356,61.97436475753784,,79
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,59.79383850097656,330356,62.725287199020386,,80
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,61.02976989746094,334356,63.493147134780884,,81
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,58.76264190673828,338356,64.28990006446838,,82
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,59.31549835205078,342356,65.07896661758423,,83
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,63.12503433227539,346356,65.81392526626587,,84
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,59.23509216308594,350356,66.53896570205688,,85
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,60.69918441772461,354356,67.26615476608276,,86
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,60.01399612426758,358356,67.99557161331177,,87
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,59.57512283325195,362356,68.72022700309753,,88
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,62.03622055053711,366356,69.45702576637268,,89
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,65.49452209472656,370356,70.18002200126648,,90
