Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
33.666668,20.681448,88.0,11.0,33.666666666666664,20.5,11.5381975,62.0,8.0,20.5,-0.008685912936925888,1025,0.47387194633483887,20.5,0
63.857143,24.844824,93.0,29.0,63.857142857142854,34.666668,18.673214,83.0,11.0,34.666666666666664,-0.006807774771004915,2065,0.8742921352386475,,1
54.375,23.558105,110.0,31.0,54.375,56.555557,32.13379,163.0,20.0,56.55555555555556,-0.005087601486593485,3083,1.1544783115386963,,2
57.857143,17.15,86.0,31.0,57.857142857142854,68.333336,33.501575,149.0,29.0,68.33333333333333,0.00781386997550726,4108,1.440162181854248,,3
68.833336,27.211618,120.0,36.0,68.83333333333333,50.45,22.43095,95.0,19.0,50.45,-0.019154038280248642,5117,1.7154288291931152,,4
98.6,39.17959,169.0,53.0,98.6,65.5,20.102861,113.0,34.0,65.5,-0.0032272629905492067,6165,2.011234998703003,,5
81.0,44.555584,170.0,55.0,81.0,69.066666,24.037378,114.0,30.0,69.06666666666666,-0.007075474597513676,7201,2.2908806800842285,,6
102.8,28.449253,132.0,52.0,102.8,69.333336,40.879772,176.0,26.0,69.33333333333333,-0.006916665937751532,8241,2.5922458171844482,,7
89.0,26.061466,128.0,54.0,89.0,93.916664,40.264664,168.0,35.0,93.91666666666667,-0.003575214184820652,9368,2.910391092300415,,8
99.6,52.84165,200.0,46.0,99.6,77.28571,22.901743,117.0,47.0,77.28571428571429,-0.02262800745666027,10450,3.2119667530059814,,9
99.2,38.953304,159.0,56.0,99.2,98.27273,38.212543,188.0,52.0,98.27272727272727,-0.007370961830019951,11531,3.5266847610473633,,10
115.5,50.529694,196.0,71.0,115.5,96.36364,32.2498,146.0,49.0,96.36363636363636,0.0071343546733260155,12591,3.8268065452575684,,11
103.5,27.807373,144.0,71.0,103.5,90.666664,40.18568,198.0,51.0,90.66666666666667,-0.005835782270878553,13679,4.1334547996521,,12
152.66667,28.193775,188.0,119.0,152.66666666666666,113.55556,31.291147,164.0,68.0,113.55555555555556,0.0036385240964591503,14701,4.432298183441162,,13
188.66667,16.027754,200.0,166.0,188.66666666666666,147.57143,29.59178,200.0,104.0,147.57142857142858,-0.011555640026926994,15734,4.7566258907318115,,14
189.0,14.165687,200.0,169.0,189.0,179.83333,16.547071,200.0,157.0,179.83333333333334,-0.01135583408176899,16813,5.100056886672974,,15
137.33333,2.6246693,141.0,135.0,137.33333333333334,192.66667,16.397831,200.0,156.0,192.66666666666666,-0.010892560705542564,17969,5.439267873764038,,16
200.0,0.0,200.0,200.0,200.0,198.33333,3.72678,200.0,190.0,198.33333333333334,0.002328871050849557,19159,5.786450624465942,,17
175.66667,28.288198,200.0,136.0,175.66666666666666,170.0,30.501366,200.0,130.0,170.0,-0.028798628598451614,20179,6.109281539916992,,18
183.66667,23.098822,200.0,151.0,183.66666666666666,185.16667,21.543882,200.0,147.0,185.16666666666666,-0.02525441162288189,21290,6.4575114250183105,,19
166.66667,27.353651,200.0,133.0,166.66666666666666,191.5,19.006578,200.0,149.0,191.5,-0.020500417798757553,22439,6.8161187171936035,,20
172.33333,19.567547,200.0,158.0,172.33333333333334,185.5,22.610838,200.0,140.0,185.5,-0.018923982977867126,23552,7.164541244506836,,21
159.0,7.483315,169.0,151.0,159.0,175.0,28.676355,200.0,122.0,175.0,-0.020385559648275375,24602,7.4894678592681885,,22
161.0,27.724838,200.0,138.0,161.0,160.85715,18.504274,191.0,128.0,160.85714285714286,0.007282677106559277,25728,7.8227763175964355,,23
155.66667,25.940102,175.0,119.0,155.66666666666666,162.14285,12.099924,179.0,141.0,162.14285714285714,-0.022031161934137344,26863,8.172451972961426,,24
167.0,28.71701,200.0,130.0,167.0,167.42857,26.337683,200.0,135.0,167.42857142857142,0.0005594862159341574,28035,8.531050205230713,,25
191.66667,11.785113,200.0,175.0,191.66666666666666,161.0,29.335497,200.0,113.0,161.0,-0.02000671997666359,29162,8.887798547744751,,26
200.0,0.0,200.0,200.0,200.0,188.83333,16.231829,200.0,160.0,188.83333333333334,-0.011870656162500381,30295,9.22509241104126,,27
200.0,0.0,200.0,200.0,200.0,196.16667,5.047002,200.0,186.0,196.16666666666666,-0.008102064952254295,31472,9.575294017791748,,28
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.01192956231534481,32472,9.883850812911987,,29
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.010014652274549007,33472,10.189125776290894,,30
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.002235239138826728,34472,10.492877006530762,,31
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.005625373683869839,35472,10.797440767288208,,32
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.025355050340294838,36472,11.100871562957764,,33
200.0,0.0,200.0,200.0,200.0,199.16667,1.86339,200.0,195.0,199.16666666666666,-0.015352418646216393,37667,11.452194452285767,,34
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.017879202961921692,38667,11.750763177871704,,35
200.0,0.0,200.0,200.0,200.0,199.5,1.118034,200.0,197.0,199.5,-0.015792978927493095,39864,12.095407247543335,,36
200.0,0.0,200.0,200.0,200.0,188.66667,16.306099,200.0,154.0,188.66666666666666,-0.04047402739524841,40996,12.422403573989868,,37
198.0,2.1602468,200.0,195.0,198.0,196.5,5.3463383,200.0,185.0,196.5,-0.028197498992085457,42175,12.794491529464722,,38
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.011453519575297832,43175,13.099087715148926,,39
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.02462073229253292,44175,13.401107549667358,,40
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.03135113790631294,45175,13.707908868789673,,41
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.03423268347978592,46175,14.013016700744629,,42
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.039160192012786865,47175,14.31757402420044,,43
166.66667,24.07396,200.0,144.0,166.66666666666666,173.33333,29.187136,200.0,127.0,173.33333333333334,-0.024805322289466858,48215,14.647096872329712,,44
149.33333,6.1282587,158.0,145.0,149.33333333333334,140.875,11.1964,155.0,125.0,140.875,-0.022505048662424088,49342,14.974047422409058,,45
165.66667,24.850664,200.0,142.0,165.66666666666666,144.71428,28.966553,200.0,113.0,144.71428571428572,-0.018233809620141983,50355,15.286266088485718,,46
189.33333,10.530379,200.0,175.0,189.33333333333334,189.83333,17.572865,200.0,152.0,189.83333333333334,-0.03900066018104553,51494,15.658385753631592,,47
200.0,0.0,200.0,200.0,200.0,167.66667,17.71691,193.0,141.0,167.66666666666666,-0.03414924815297127,52500,15.957227230072021,,48
200.0,0.0,200.0,200.0,200.0,185.5,23.549593,200.0,134.0,185.5,-0.024497874081134796,53613,16.288511514663696,,49
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.04212841019034386,54613,16.5962016582489,,50
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.034093983471393585,55613,16.8987455368042,,51
199.66667,0.4714045,200.0,199.0,199.66666666666666,200.0,0.0,200.0,200.0,200.0,-0.018873043358325958,56613,17.237460136413574,,52
181.0,14.306176,198.0,163.0,181.0,200.0,0.0,200.0,200.0,200.0,-0.028251778334379196,57613,17.567241668701172,,53
172.66667,4.4969125,178.0,167.0,172.66666666666666,187.0,8.3864975,200.0,177.0,187.0,-0.020495718345046043,58735,17.938273668289185,,54
187.33333,4.642796,192.0,181.0,187.33333333333334,188.16667,10.915076,200.0,171.0,188.16666666666666,-0.0062857926823198795,59864,18.29494071006775,,55
183.66667,15.412837,200.0,163.0,183.66666666666666,177.33333,11.352924,188.0,159.0,177.33333333333334,-0.024484792724251747,60928,18.630619287490845,,56
168.66667,1.8856181,170.0,166.0,168.66666666666666,190.5,12.433154,200.0,172.0,190.5,-0.0279353316873312,62071,18.981032133102417,,57
200.0,0.0,200.0,200.0,200.0,189.33333,7.1102433,200.0,181.0,189.33333333333334,-0.05394727736711502,63207,19.310540199279785,,58
200.0,0.0,200.0,200.0,200.0,198.5,3.354102,200.0,191.0,198.5,-0.03854548558592796,64398,19.660356521606445,,59
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.017166638746857643,65398,19.962571144104004,,60
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.03644169121980667,66398,20.267823696136475,,61
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.02810315601527691,67398,20.57300043106079,,62
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.00788844097405672,68398,20.87495517730713,,63
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.021298298612236977,69398,21.17903971672058,,64
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.01848812773823738,70398,21.480613708496094,,65
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.027021706104278564,71398,21.784982919692993,,66
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.01570231281220913,72398,22.086740970611572,,67
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.011017735116183758,73398,22.389354705810547,,68
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.025694629177451134,74398,22.692803382873535,,69
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.00704454630613327,75398,22.994563341140747,,70
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.009233832359313965,76398,23.29744815826416,,71
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.005377486348152161,77398,23.60197424888611,,72
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.014118674211204052,78398,23.907851934432983,,73
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.011195812374353409,79398,24.21498465538025,,74
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0020781117491424084,80398,24.52654242515564,,75
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.021318508312106133,81398,24.839774131774902,,76
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.005616271868348122,82398,25.14800477027893,,77
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.016527436673641205,83398,25.458062887191772,,78
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.024019617587327957,84398,25.774944305419922,,79
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0025942232459783554,85398,26.08214831352234,,80
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0060795946046710014,86398,26.38899540901184,,81
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.015824908390641212,87398,26.69446587562561,,82
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.01495183352380991,88398,26.997642040252686,,83
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.016458000987768173,89398,27.30565357208252,,84
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.020237138494849205,90398,27.60728430747986,,85
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0009080937597900629,91398,27.909855127334595,,86
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.010651684366166592,92398,28.212920904159546,,87
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.004986837040632963,93398,28.515520095825195,,88
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.022261865437030792,94398,28.817082405090332,,89
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.008898132480680943,95398,29.119003295898438,,90
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.017290005460381508,96398,29.425180912017822,,91
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.010741569101810455,97398,29.730984449386597,,92
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.016081973910331726,98398,30.032039165496826,,93
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.011210856959223747,99398,30.339312314987183,,94
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.008729187771677971,100398,30.642316818237305,,95
