Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
41.2,30.09917,125.0,10.0,41.2,26.526316,16.794012,75.0,10.0,26.526315789473685,13.133180618286133,1008,0.46318626403808594,26.526316,0
47.444443,17.455412,73.0,14.0,47.44444444444444,29.558823,14.526226,69.0,11.0,29.558823529411764,12.585257530212402,2013,0.8480224609375,,1
35.416668,23.081226,93.0,14.0,35.416666666666664,47.727272,45.57828,198.0,11.0,47.72727272727273,29.685911178588867,3063,1.1387968063354492,,2
61.142857,30.427567,126.0,29.0,61.142857142857146,45.636364,18.19227,93.0,20.0,45.63636363636363,16.8504581451416,4067,1.4067935943603516,,3
60.42857,24.789728,118.0,38.0,60.42857142857143,57.5,42.329723,197.0,18.0,57.5,27.507705688476562,5102,1.701209306716919,,4
109.5,43.626255,157.0,54.0,109.5,93.75,48.909992,200.0,25.0,93.75,35.7296142578125,6227,2.020658493041992,,5
129.0,30.618622,181.0,103.0,129.0,92.0,21.200344,121.0,60.0,92.0,28.266956329345703,7239,2.3190958499908447,,6
124.0,45.502747,174.0,50.0,124.0,90.5,45.565887,157.0,34.0,90.5,32.59010314941406,8325,2.638963222503662,,7
162.0,31.874754,200.0,122.0,162.0,103.8,38.61554,181.0,40.0,103.8,32.90793991088867,9363,2.938682794570923,,8
120.75,21.81026,154.0,94.0,120.75,135.875,29.628693,200.0,109.0,135.875,39.516868591308594,10450,3.264789342880249,,9
125.25,27.69815,171.0,100.0,125.25,131.875,11.395586,148.0,113.0,131.875,36.570560455322266,11505,3.5830228328704834,,10
131.25,16.345871,149.0,107.0,131.25,115.22222,15.921877,143.0,93.0,115.22222222222223,31.901748657226562,12542,3.886862277984619,,11
95.8,35.36891,129.0,31.0,95.8,103.4,30.209932,141.0,49.0,103.4,30.284067153930664,13576,4.185737609863281,,12
108.25,11.211043,125.0,95.0,108.25,97.36364,18.946205,124.0,49.0,97.36363636363636,27.439279556274414,14647,4.48075008392334,,13
84.0,28.962044,118.0,31.0,84.0,110.8,7.560423,129.0,103.0,110.8,29.180160522460938,15755,4.784023761749268,,14
89.8,23.81092,113.0,45.0,89.8,99.0,14.3527,141.0,87.0,99.0,25.627046585083008,16844,5.0861921310424805,,15
51.25,28.665092,105.0,25.0,51.25,69.13333,33.07742,109.0,25.0,69.13333333333334,22.029844284057617,17881,5.366942882537842,,16
68.5,32.23223,103.0,30.0,68.5,69.53333,36.720325,129.0,24.0,69.53333333333333,23.21240234375,18924,5.6507227420806885,,17
136.75,24.41695,179.0,121.0,136.75,85.0,35.319965,136.0,25.0,85.0,25.943513870239258,19944,5.941758155822754,,18
175.0,35.35534,200.0,125.0,175.0,119.0,38.363758,200.0,47.0,119.0,32.22018814086914,21015,6.265707015991211,,19
200.0,0.0,200.0,200.0,200.0,169.28572,33.17363,200.0,119.0,169.28571428571428,43.79628372192383,22200,6.605995416641235,,20
200.0,0.0,200.0,200.0,200.0,199.33333,1.490712,200.0,196.0,199.33333333333334,49.60692596435547,23396,6.958408355712891,,21
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,50.259613037109375,24396,7.2631518840789795,,22
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,49.62635040283203,25396,7.5657267570495605,,23
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,47.9139404296875,26396,7.863544464111328,,24
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,50.03852844238281,27396,8.17433762550354,,25
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,48.15888214111328,28396,8.483401775360107,,26
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,50.58159637451172,29396,8.784484624862671,,27
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,51.451133728027344,30396,9.085672855377197,,28
192.66667,10.3709,200.0,178.0,192.66666666666666,200.0,0.0,200.0,200.0,200.0,50.481719970703125,31396,9.486097812652588,,29
164.33333,11.145503,180.0,155.0,164.33333333333334,194.0,8.962887,200.0,177.0,194.0,48.658390045166016,32560,9.871136903762817,,30
134.33333,5.2493386,139.0,127.0,134.33333333333334,156.57143,8.312764,163.0,138.0,156.57142857142858,37.908023834228516,33656,10.182982683181763,,31
96.6,36.838024,117.0,23.0,96.6,133.5,6.1032777,143.0,126.0,133.5,33.99700927734375,34724,10.526916742324829,,32
67.833336,42.124485,121.0,18.0,67.83333333333333,85.46154,45.887177,132.0,20.0,85.46153846153847,27.92194366455078,35835,10.827441215515137,,33
45.81818,41.353947,118.0,14.0,45.81818181818182,73.28571,43.460045,121.0,15.0,73.28571428571429,24.927963256835938,36861,11.133804559707642,,34
37.0,32.696957,109.0,17.0,37.0,72.28571,42.650455,113.0,19.0,72.28571428571429,23.426029205322266,37873,11.422138690948486,,35
36.545456,34.349445,113.0,16.0,36.54545454545455,36.5,31.907791,119.0,13.0,36.5,16.144245147705078,38895,11.691406011581421,,36
41.3,39.220016,121.0,13.0,41.3,41.75,36.218376,114.0,15.0,41.75,18.007871627807617,39897,11.96233344078064,,37
103.2,40.74506,129.0,22.0,103.2,76.0,45.35731,130.0,18.0,76.0,24.85794448852539,40961,12.273375511169434,,38
126.75,5.629165,133.0,118.0,126.75,90.25,45.48649,129.0,20.0,90.25,26.202360153198242,42044,12.578144073486328,,39
129.25,4.968652,136.0,122.0,129.25,122.888885,5.7046657,130.0,112.0,122.88888888888889,28.44632911682129,43150,12.894324541091919,,40
107.5,46.165462,139.0,28.0,107.5,116.666664,31.12698,133.0,29.0,116.66666666666667,28.078536987304688,44200,13.18503737449646,,41
128.25,9.807523,142.0,118.0,128.25,129.25,6.777721,142.0,122.0,129.25,29.62561798095703,45234,13.491516351699829,,42
127.5,3.2015622,131.0,123.0,127.5,124.333336,6.480741,138.0,116.0,124.33333333333333,29.693574905395508,46353,13.823124885559082,,43
130.5,8.789198,145.0,123.0,130.5,127.125,9.700998,144.0,116.0,127.125,28.593517303466797,47370,14.132235527038574,,44
130.75,7.980445,142.0,120.0,130.75,127.125,9.518896,149.0,118.0,127.125,28.75748634338379,48387,14.434505939483643,,45
131.5,2.598076,134.0,128.0,131.5,133.875,7.30475,143.0,121.0,133.875,29.25270652770996,49458,14.752668380737305,,46
138.33333,3.399346,143.0,135.0,138.33333333333334,134.125,8.950384,149.0,123.0,134.125,27.6524715423584,50531,15.053114652633667,,47
138.33333,10.274024,150.0,125.0,138.33333333333334,139.0,10.356157,153.0,124.0,139.0,31.111034393310547,51643,15.361186981201172,,48
149.66667,4.784233,154.0,143.0,149.66666666666666,143.71428,9.222864,159.0,127.0,143.71428571428572,31.418495178222656,52649,15.655998706817627,,49
162.0,9.416298,175.0,153.0,162.0,147.71428,8.90769,163.0,132.0,147.71428571428572,31.687074661254883,53683,15.962580919265747,,50
153.0,8.041558,164.0,145.0,153.0,156.28572,8.275856,167.0,141.0,156.28571428571428,35.676212310791016,54777,16.27919363975525,,51
146.33333,5.436502,154.0,142.0,146.33333333333334,155.42857,5.8028846,166.0,147.0,155.42857142857142,33.49459457397461,55865,16.59445810317993,,52
156.0,4.082483,161.0,151.0,156.0,148.28572,5.3107514,157.0,140.0,148.28571428571428,32.22337341308594,56903,16.900567293167114,,53
148.0,9.092121,160.0,138.0,148.0,145.28572,11.34793,165.0,132.0,145.28571428571428,30.2222900390625,57920,17.198084354400635,,54
140.33333,9.741093,154.0,132.0,140.33333333333334,146.14285,7.5673842,159.0,135.0,146.14285714285714,32.70363998413086,58943,17.493727445602417,,55
135.66667,6.6499786,145.0,130.0,135.66666666666666,145.71428,3.1943827,152.0,142.0,145.71428571428572,31.916893005371094,59963,17.78413724899292,,56
142.33333,7.039571,150.0,133.0,142.33333333333334,144.85715,9.789623,159.0,130.0,144.85714285714286,30.378677368164062,60977,18.079845666885376,,57
158.33333,6.1282587,166.0,151.0,158.33333333333334,147.28572,5.5988336,159.0,141.0,147.28571428571428,32.36862564086914,62008,18.381122827529907,,58
162.0,9.273619,170.0,149.0,162.0,146.28572,6.2040143,160.0,139.0,146.28571428571428,32.4211540222168,63032,18.688973903656006,,59
170.33333,8.993825,181.0,159.0,170.33333333333334,161.85715,5.890151,172.0,156.0,161.85714285714286,37.0080680847168,64165,19.026426076889038,,60
187.33333,9.285592,200.0,178.0,187.33333333333334,170.33333,8.055365,181.0,156.0,170.33333333333334,36.49151611328125,65187,19.349467277526855,,61
183.66667,9.877022,193.0,170.0,183.66666666666666,180.16667,9.990273,195.0,163.0,180.16666666666666,38.8807258605957,66268,19.693241357803345,,62
190.66667,10.498677,200.0,176.0,190.66666666666666,191.33333,8.537499,200.0,174.0,191.33333333333334,44.17422866821289,67416,20.07973575592041,,63
200.0,0.0,200.0,200.0,200.0,195.66667,5.217492,200.0,185.0,195.66666666666666,42.398231506347656,68590,20.430583238601685,,64
198.33333,2.3570228,200.0,195.0,198.33333333333334,197.33333,2.924988,200.0,193.0,197.33333333333334,42.86637878417969,69774,20.837427616119385,,65
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,42.543846130371094,70774,21.168955326080322,,66
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,43.008113861083984,71774,21.487492084503174,,67
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,44.21603775024414,72774,21.7908718585968,,68
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,42.682071685791016,73774,22.092875003814697,,69
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,43.35154724121094,74774,22.419490337371826,,70
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,39.4105339050293,75774,22.728977918624878,,71
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,44.253841400146484,76774,23.02873134613037,,72
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,43.396087646484375,77774,23.329673767089844,,73
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,42.267173767089844,78774,23.631743669509888,,74
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,40.316471099853516,79774,23.930144548416138,,75
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,41.47056579589844,80774,24.231823682785034,,76
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,41.180503845214844,81774,24.53880000114441,,77
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,40.4747428894043,82774,24.84182357788086,,78
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,43.006683349609375,83774,25.141998052597046,,79
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,42.55455780029297,84774,25.439814805984497,,80
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,42.62550354003906,85774,25.73688554763794,,81
200.0,0.0,200.0,200.0,200.0,199.0,2.236068,200.0,194.0,199.0,42.41632080078125,86968,26.084795713424683,,82
200.0,0.0,200.0,200.0,200.0,199.5,1.118034,200.0,197.0,199.5,42.91808319091797,88165,26.434797763824463,,83
190.66667,6.9442225,199.0,182.0,190.66666666666666,196.83333,3.0230594,200.0,192.0,196.83333333333334,42.11935806274414,89346,26.80436635017395,,84
160.0,2.1602468,162.0,157.0,160.0,188.83333,14.147046,200.0,168.0,188.83333333333334,41.177730560302734,90479,27.151071786880493,,85
182.66667,5.2493386,190.0,178.0,182.66666666666666,174.33333,8.1989155,191.0,167.0,174.33333333333334,37.222320556640625,91525,27.48739719390869,,86
150.0,5.715476,155.0,142.0,150.0,166.57143,7.108488,178.0,155.0,166.57142857142858,34.21154022216797,92691,27.830493927001953,,87
147.0,9.899495,160.0,136.0,147.0,160.14285,4.7034507,169.0,154.0,160.14285714285714,33.20378494262695,93812,28.154160737991333,,88
150.33333,8.178563,158.0,139.0,150.33333333333334,153.57143,10.768435,169.0,140.0,153.57142857142858,32.28858184814453,94887,28.468063354492188,,89
154.0,4.3204937,158.0,148.0,154.0,152.0,14.755144,172.0,134.0,152.0,30.599151611328125,95951,28.77559185028076,,90
140.33333,4.714045,147.0,137.0,140.33333333333334,145.71428,6.9223094,157.0,138.0,145.71428571428572,29.375751495361328,96971,29.066942930221558,,91
135.33333,3.091206,138.0,131.0,135.33333333333334,147.71428,9.866455,164.0,129.0,147.71428571428572,30.23701286315918,98005,29.3610200881958,,92
160.0,1.4142135,162.0,159.0,160.0,145.28572,6.734013,160.0,138.0,145.28571428571428,28.820104598999023,99022,29.666538953781128,,93
143.66667,13.123346,162.0,132.0,143.66666666666666,142.875,6.6602836,151.0,128.0,142.875,30.845975875854492,100165,29.990351915359497,,94
