Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-713.3701,9.931981,-701.8548,-726.093,1000.0,-693.5375,57.849976,-629.0772,-799.4801,1000.0,-116.38581848144531,229.79986572265625,5000,3.2846715450286865,-693.5375,0
-706.3527,15.568717,-692.7842,-728.15356,1000.0,-756.59314,61.956688,-701.6126,-872.6516,1000.0,-124.57029724121094,251.0774383544922,10000,6.589874267578125,,1
-742.87573,64.695045,-692.3054,-834.1924,1000.0,-754.63745,76.96738,-668.86426,-899.1958,1000.0,-123.88512420654297,240.15347290039062,15000,9.745092153549194,,2
-833.8193,42.85804,-777.71515,-881.7324,1000.0,-887.41833,85.013954,-789.901,-1035.6764,1000.0,-143.30992126464844,329.9810485839844,20000,12.909108638763428,,3
-909.5571,33.49156,-863.7262,-942.82495,1000.0,-809.1996,92.06289,-727.38525,-947.69946,1000.0,-126.1908187866211,261.5676574707031,25000,16.122145891189575,,4
-789.8991,75.501144,-683.56476,-851.45636,1000.0,-835.10095,121.70992,-661.41406,-1016.09015,1000.0,-127.5969467163086,278.1923828125,30000,19.31598472595215,,5
-929.7632,62.625957,-856.38934,-1009.4062,1000.0,-864.5871,53.443783,-794.6952,-957.555,1000.0,-125.98357391357422,261.9168701171875,35000,22.556480169296265,,6
-762.292,38.43237,-732.1634,-816.5324,1000.0,-937.10364,80.405304,-832.25464,-1045.3269,1000.0,-134.6923828125,307.80218505859375,40000,25.746541261672974,,7
-863.49664,118.799324,-712.5889,-1002.9041,1000.0,-892.67706,56.213547,-832.8544,-984.5045,1000.0,-117.68954467773438,236.1346435546875,45000,28.9240562915802,,8
-886.6535,134.58022,-766.72186,-1074.6039,1000.0,-832.08984,73.98782,-704.9728,-926.2451,1000.0,-102.82180786132812,213.88999938964844,50000,31.99501895904541,,9
-842.14105,24.213371,-814.1557,-873.2231,1000.0,-919.0363,63.856815,-831.2852,-987.9832,1000.0,-114.49873352050781,237.2555694580078,55000,35.03309440612793,,10
-853.6269,134.98476,-676.02686,-1003.04865,1000.0,-843.0827,100.16134,-730.68567,-1027.7594,1000.0,-103.48188781738281,212.4083251953125,60000,38.11542558670044,,11
-881.1946,18.989557,-855.99146,-901.82776,1000.0,-976.221,92.213,-838.06104,-1080.2828,1000.0,-123.14736938476562,301.1894836425781,65000,41.271456241607666,,12
-767.51385,21.144728,-745.5186,-796.0559,1000.0,-799.8583,87.35185,-685.25287,-903.12854,1000.0,-77.43400573730469,145.509521484375,70000,44.44069170951843,,13
-794.9012,23.480309,-767.5247,-824.8647,1000.0,-818.36017,75.10573,-736.1656,-943.6929,1000.0,-60.65837478637695,91.68073272705078,75000,47.57743692398071,,14
-686.7573,99.80015,-585.91907,-822.69745,1000.0,-769.2046,89.96307,-632.8297,-885.8075,1000.0,-44.63945007324219,72.54590606689453,80000,50.753896713256836,,15
-762.1457,11.6847,-748.35986,-776.9292,1000.0,-743.0204,37.29926,-696.4276,-790.8864,1000.0,-26.742233276367188,32.298828125,85000,53.89635753631592,,16
-764.54785,81.95439,-664.0344,-864.7803,1000.0,-754.054,121.04529,-556.8721,-922.2379,1000.0,-46.84148406982422,116.7783203125,90000,57.06173777580261,,17
