Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-731.2149,42.74907,-692.9399,-790.88007,1000.0,-666.6139,84.49336,-563.1493,-812.5822,1000.0,-111.87525939941406,186.4900665283203,5000,3.234313488006592,-666.6139,0
-733.61334,40.908314,-679.1005,-777.6477,1000.0,-681.0112,28.358685,-632.001,-710.5852,1000.0,-97.91021728515625,95.19251251220703,10000,6.382421016693115,,1
-727.0916,69.65711,-642.8241,-813.41144,1000.0,-753.2899,57.723976,-709.082,-865.2241,1000.0,-81.21080017089844,73.01175689697266,15000,9.506884098052979,,2
-773.6299,53.151314,-711.1845,-841.08826,1000.0,-770.25507,25.144758,-737.45166,-811.317,1000.0,-47.463436126708984,44.404266357421875,20000,12.701310634613037,,3
-837.5075,17.477333,-813.30347,-853.9465,1000.0,-785.0663,84.04463,-636.79626,-882.1311,1000.0,-46.32040023803711,131.61083984375,25000,15.76282811164856,,4
-862.8308,43.235836,-828.5905,-923.82245,1000.0,-818.6712,57.05377,-774.8478,-930.7401,1000.0,-10.35867977142334,66.5154800415039,30000,18.802016258239746,,5
-905.5654,63.370564,-832.78107,-987.24084,1000.0,-849.6195,81.577065,-780.0459,-1002.91626,1000.0,-16.87314796447754,45.87208557128906,35000,21.937411785125732,,6
-857.95996,30.284536,-821.8021,-895.9182,1000.0,-863.63525,79.52748,-715.1316,-938.4751,1000.0,-1.4437313079833984,36.109535217285156,40000,25.07474708557129,,7
-864.9755,32.45477,-836.976,-910.4711,1000.0,-867.7545,42.623623,-783.07513,-894.81964,1000.0,6.7565999031066895,19.989648818969727,45000,28.13750171661377,,8
-806.5672,40.263596,-751.0325,-845.2274,1000.0,-853.5661,46.356934,-807.6773,-940.25165,1000.0,5.741770267486572,20.521484375,50000,31.276405096054077,,9
-780.7209,75.73183,-677.96765,-858.25653,1000.0,-807.8117,55.07382,-717.23914,-886.1001,1000.0,9.934393882751465,22.087448120117188,55000,34.472248554229736,,10
-751.01074,90.499054,-669.4556,-877.209,1000.0,-771.63806,50.047737,-706.1837,-856.0331,1000.0,6.99462890625,28.793851852416992,60000,37.65844702720642,,11
-682.2319,20.572205,-664.6605,-711.0989,1000.0,-698.11786,79.86716,-559.4911,-795.6505,1000.0,11.390312194824219,30.56417465209961,65000,40.79332256317139,,12
-671.17285,35.955578,-621.7303,-706.1791,1000.0,-711.1847,51.966473,-622.77893,-772.1852,1000.0,-0.6733124256134033,19.10259246826172,70000,43.830204010009766,,13
-587.35345,40.086315,-537.2777,-635.4062,1000.0,-710.67255,30.979525,-666.07556,-759.89307,1000.0,-6.423036575317383,22.443105697631836,75000,46.866637229919434,,14
-535.00836,28.877983,-495.73993,-564.3585,1000.0,-650.39294,71.28422,-542.2671,-731.4263,1000.0,5.419388771057129,31.58331871032715,80000,49.931140422821045,,15
-681.82996,83.91446,-564.48083,-755.81274,1000.0,-614.1898,99.17506,-511.58826,-789.52594,1000.0,5.3233747482299805,43.99728775024414,85000,53.031909465789795,,16
-596.5004,22.308542,-564.9514,-612.298,1000.0,-552.50824,52.784542,-479.54364,-613.33215,1000.0,9.898372650146484,36.80320739746094,90000,56.091853618621826,,17
-590.37024,84.22758,-511.46057,-707.09973,1000.0,-607.95483,46.408,-518.80817,-652.18115,1000.0,-4.8005290031433105,18.106327056884766,95000,59.147401094436646,,18
-533.9417,29.687407,-492.0055,-556.6504,1000.0,-577.46375,31.479902,-518.0288,-610.8436,1000.0,-6.877965450286865,34.72367477416992,100000,62.323572397232056,,19
-572.44495,12.518084,-562.22046,-590.0731,1000.0,-617.1765,39.04321,-577.053,-679.8268,1000.0,-7.9659576416015625,38.42393493652344,105000,65.51276755332947,,20
-537.83356,21.94411,-506.84778,-554.8191,1000.0,-535.29364,51.97423,-470.14883,-595.66644,1000.0,10.955347061157227,31.421831130981445,110000,68.56011748313904,,21
-497.6779,82.14486,-412.88196,-608.8429,1000.0,-449.1054,53.856213,-364.21906,-527.74274,1000.0,20.047300338745117,28.8653621673584,115000,71.63080787658691,,22
-555.30194,24.515879,-531.5934,-589.06445,1000.0,-510.77545,35.14051,-453.78192,-557.0164,1000.0,0.014824707061052322,20.19114112854004,120000,74.74446153640747,,23
-491.30713,53.585815,-417.22528,-542.1708,1000.0,-476.688,81.90034,-374.45526,-580.92395,1000.0,-8.95822525024414,27.49492073059082,125000,77.86452078819275,,24
-451.02274,39.463875,-400.93323,-497.3836,1000.0,-528.8478,38.007797,-477.6853,-594.2865,1000.0,-9.71056079864502,17.753604888916016,130000,80.93723630905151,,25
-505.95694,31.015406,-466.26953,-541.97516,1000.0,-518.38184,39.54177,-447.84244,-560.5525,1000.0,-1.5913560390472412,22.056425094604492,135000,84.08738398551941,,26
-453.39038,79.52386,-359.8064,-554.19714,1000.0,-494.62378,46.414402,-425.28424,-556.6379,1000.0,6.0425801277160645,24.441974639892578,140000,87.19193196296692,,27
-449.14853,40.671947,-391.71112,-480.5169,1000.0,-420.6874,68.823685,-328.6915,-537.2001,1000.0,12.751932144165039,21.035005569458008,145000,90.34030389785767,,28
-490.86475,17.99203,-470.44995,-514.225,1000.0,-444.27866,36.548286,-411.2517,-512.0126,1000.0,3.108981132507324,21.162931442260742,150000,93.50446224212646,,29
-498.61758,49.844807,-429.13696,-543.65784,1000.0,-448.0451,32.291737,-404.8844,-503.28113,1000.0,-4.032843589782715,19.036924362182617,155000,96.71165800094604,,30
-459.95493,33.307354,-420.47656,-501.94638,1000.0,-505.9214,29.3657,-467.28046,-547.82495,1000.0,-13.092543601989746,23.910720825195312,160000,99.99289679527283,,31
-482.3025,60.639824,-409.50903,-557.96265,1000.0,-441.508,30.33925,-414.57104,-495.599,1000.0,0.24044853448867798,22.23777198791504,165000,103.1000623703003,,32
-464.9774,65.36273,-383.5391,-543.5685,1000.0,-498.3576,78.42574,-422.80945,-638.1036,1000.0,-2.705514669418335,26.192527770996094,170000,106.17983031272888,,33
-452.55417,50.12576,-384.917,-504.75204,1000.0,-420.30377,20.897537,-390.21405,-445.20544,1000.0,11.359047889709473,18.99365997314453,175000,109.29856300354004,,34
-428.45175,10.693633,-414.11993,-439.79855,1000.0,-433.15656,28.813206,-385.16736,-469.26355,1000.0,5.5431809425354,15.445537567138672,180000,112.46050333976746,,35
-420.2098,7.4366226,-414.07782,-430.67538,1000.0,-427.2416,69.54236,-351.86066,-549.058,1000.0,-0.8622236251831055,16.822359085083008,185000,115.60034155845642,,36
-403.13504,23.247686,-370.36996,-421.86688,1000.0,-442.07266,55.905716,-376.72586,-533.949,1000.0,-6.016358375549316,17.956302642822266,190000,118.61749315261841,,37
-364.69763,8.535495,-352.65784,-371.46887,1000.0,-393.40424,30.42388,-341.91968,-429.40656,1000.0,0.7968855500221252,19.141475677490234,195000,121.67458820343018,,38
-395.43942,31.10118,-353.2054,-427.19324,1000.0,-385.5585,49.91157,-292.9109,-443.5699,1000.0,1.0758756399154663,13.54480266571045,200000,124.8023989200592,,39
-378.07248,23.743952,-346.6452,-404.02856,1000.0,-389.4955,22.636158,-361.7682,-429.26038,1000.0,0.9800490736961365,17.377546310424805,205000,127.95000338554382,,40
-345.06485,51.929474,-293.7483,-416.21997,1000.0,-328.73807,39.72564,-285.77112,-401.6255,1000.0,6.9957499504089355,11.061945915222168,210000,131.05008792877197,,41
-340.53305,54.045845,-264.60614,-386.0964,1000.0,-317.28088,30.380411,-263.37234,-348.35526,1000.0,1.049065351486206,15.100611686706543,215000,134.13494277000427,,42
-320.94202,12.137601,-305.93878,-335.66577,1000.0,-264.83936,38.604652,-217.47893,-310.49106,1000.0,2.7306885719299316,9.891026496887207,220000,137.20562291145325,,43
-328.5008,46.741924,-268.6761,-382.764,1000.0,-295.7287,18.94043,-271.0642,-327.2154,1000.0,-4.222461700439453,13.416385650634766,225000,140.2971670627594,,44
-278.9976,48.42176,-213.32008,-328.6247,1000.0,-318.14532,38.370255,-276.3494,-385.12973,1000.0,-7.461118698120117,15.986412048339844,230000,143.39572048187256,,45
-305.9728,64.142365,-219.02762,-371.84552,1000.0,-233.79672,31.526945,-208.19019,-294.5542,1000.0,7.819409370422363,17.43745994567871,235000,146.5260579586029,,46
-260.99194,10.123534,-248.35324,-273.13593,1000.0,-300.99435,19.370817,-268.0133,-323.8819,1000.0,-1.9921798706054688,14.53327751159668,240000,149.55635499954224,,47
-269.0742,31.713142,-233.3135,-310.3952,1000.0,-305.77783,40.288204,-247.77641,-367.7179,1000.0,-3.906043767929077,29.79997444152832,245000,152.59529566764832,,48
-360.69284,129.37932,-251.59523,-542.44934,1000.0,-264.8642,9.102405,-248.14786,-275.7851,1000.0,3.006709098815918,10.719182968139648,250000,155.73209142684937,,49
-244.8866,64.79411,-186.68466,-335.28043,1000.0,-253.4705,67.279724,-176.24011,-378.83286,1000.0,2.540722608566284,18.907859802246094,255000,158.98100876808167,,50
-235.62103,35.44415,-186.60974,-269.22894,1000.0,-241.5625,53.21274,-186.41748,-331.34802,1000.0,-0.3639501929283142,22.394329071044922,260000,162.14048886299133,,51
-264.74326,42.489372,-212.81131,-316.88794,1000.0,-248.96182,49.158184,-183.90083,-330.622,1000.0,-1.5676581859588623,10.425159454345703,265000,165.2952845096588,,52
-305.17722,11.328894,-289.16187,-313.56882,1000.0,-306.81314,86.59717,-190.23608,-442.55136,1000.0,-7.379315376281738,24.29151725769043,270000,168.46985244750977,,53
-282.91824,28.934439,-242.31662,-307.62726,1000.0,-286.41675,62.968258,-214.17316,-390.81155,1000.0,2.399275302886963,22.375802993774414,275000,171.6334846019745,,54
