Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-814.11084,115.477165,-721.07776,-976.8646,1000.0,-629.37946,36.042244,-574.6487,-688.0296,1000.0,-105.91019439697266,5000,3.3807919025421143,-629.37946,0
-713.3462,33.164925,-668.53394,-747.74255,1000.0,-708.94037,20.768316,-672.75183,-734.45044,1000.0,-118.4235610961914,10000,6.745920181274414,,1
-795.9549,137.36096,-684.2975,-989.4482,1000.0,-688.441,40.545128,-642.2251,-756.3561,1000.0,-116.70269775390625,15000,9.992805480957031,,2
-990.18756,80.323105,-883.1101,-1076.567,1000.0,-881.94666,113.19799,-747.8596,-1078.2217,1000.0,-148.0958251953125,20000,13.193416357040405,,3
-903.7178,59.434494,-819.6694,-946.509,1000.0,-832.9606,88.40823,-698.468,-950.59937,1000.0,-139.31715393066406,25000,16.401291370391846,,4
-1017.3034,59.91433,-943.3965,-1090.1444,1000.0,-914.4835,109.415504,-782.87537,-1104.428,1000.0,-151.70974731445312,30000,19.563738346099854,,5
-1143.8075,32.883785,-1111.8608,-1189.0481,1000.0,-1052.181,161.12184,-871.5565,-1284.6418,1000.0,-175.330322265625,35000,22.741746425628662,,6
-1064.832,25.660328,-1035.104,-1097.72,1000.0,-1138.5027,56.334087,-1036.7969,-1187.8464,1000.0,-189.2460479736328,40000,25.8600172996521,,7
-1207.2928,34.25389,-1177.7058,-1255.3046,1000.0,-1074.8395,69.24851,-1001.05383,-1188.1536,1000.0,-178.4393768310547,45000,28.99534249305725,,8
-1054.3075,52.395317,-985.19415,-1112.0032,1000.0,-1120.405,108.90828,-1010.2423,-1305.1787,1000.0,-184.47018432617188,50000,32.164615869522095,,9
-933.9363,68.72396,-837.0231,-988.74475,1000.0,-1065.0414,103.911674,-862.08044,-1159.0127,1000.0,-175.3612518310547,55000,35.26204490661621,,10
-952.22363,56.619762,-900.62,-1031.049,1000.0,-950.4108,81.05105,-838.08856,-1022.1334,1000.0,-156.53269958496094,60000,38.32561945915222,,11
-1005.1457,140.274,-900.0303,-1203.4026,1000.0,-911.5792,52.316486,-828.33923,-993.41833,1000.0,-149.35130310058594,65000,41.396228313446045,,12
-1009.7194,100.2686,-895.1266,-1139.3488,1000.0,-1089.2949,79.05901,-934.02325,-1150.9773,1000.0,-179.36880493164062,70000,44.488120794296265,,13
-917.32446,39.028214,-871.3279,-966.74316,1000.0,-900.23816,66.27218,-796.0596,-981.59454,1000.0,-147.93994140625,75000,47.521286487579346,,14
-801.42725,26.265406,-771.0038,-835.0948,1000.0,-922.72205,114.551,-741.89575,-1066.0789,1000.0,-150.5635986328125,80000,50.63102197647095,,15
-861.965,42.80272,-805.8403,-909.66455,1000.0,-855.8097,60.743515,-780.0571,-965.4729,1000.0,-139.24472045898438,85000,53.75123119354248,,16
-783.75946,117.73994,-620.14307,-892.3314,1000.0,-875.06104,43.143906,-812.5984,-922.1558,1000.0,-142.4153289794922,90000,56.80137276649475,,17
-774.4621,20.733665,-756.669,-803.54236,1000.0,-828.0872,79.497894,-679.62134,-901.1053,1000.0,-134.5085906982422,95000,59.84716296195984,,18
-775.91974,19.926851,-749.11,-796.84436,1000.0,-774.9804,41.99601,-701.219,-823.772,1000.0,-125.24372100830078,100000,62.96562671661377,,19
-757.39667,87.23259,-680.8581,-879.4554,1000.0,-719.86084,88.87825,-569.24756,-825.6238,1000.0,-114.65279388427734,105000,66.08250546455383,,20
-849.311,76.92779,-778.7074,-956.2938,1000.0,-835.8558,101.91255,-665.2728,-982.24133,1000.0,-133.25714111328125,110000,69.12974119186401,,21
-791.9943,87.721405,-668.3555,-862.6264,1000.0,-823.0703,37.97852,-760.4331,-870.9971,1000.0,-130.7433319091797,115000,72.19318199157715,,22
-814.5092,88.18217,-714.319,-928.9128,1000.0,-812.19226,34.097134,-779.17566,-875.52606,1000.0,-128.54087829589844,120000,75.2164351940155,,23
-815.7539,126.048584,-643.5566,-941.7704,1000.0,-856.32874,37.532646,-793.87866,-909.68884,1000.0,-135.9600067138672,125000,78.24783754348755,,24
-881.57196,7.978791,-871.9834,-891.5176,1000.0,-872.34143,59.065315,-757.02026,-922.17206,1000.0,-138.33326721191406,130000,81.32419657707214,,25
-916.97845,50.331753,-872.5574,-987.3554,1000.0,-915.22815,43.08077,-840.4949,-974.55536,1000.0,-144.24205017089844,135000,84.48305988311768,,26
-893.1066,84.454,-826.4524,-1012.2628,1000.0,-848.52686,59.757202,-748.3323,-908.34656,1000.0,-132.81834411621094,140000,87.55254030227661,,27
-780.7774,59.8636,-697.5725,-835.9144,1000.0,-878.23175,79.320465,-755.786,-1000.89795,1000.0,-136.9853515625,145000,90.64513230323792,,28
-847.58154,35.969864,-797.6344,-880.9043,1000.0,-861.5363,49.38738,-777.6625,-932.95544,1000.0,-134.8487548828125,150000,93.728018283844,,29
-722.8154,95.57375,-616.56714,-848.2928,1000.0,-811.08435,27.790123,-776.78876,-853.03284,1000.0,-126.562255859375,155000,96.86304354667664,,30
-762.6569,53.03377,-688.36426,-808.7096,1000.0,-820.70703,26.796227,-790.5668,-862.2603,1000.0,-126.67115020751953,160000,99.91604375839233,,31
-628.5667,38.356724,-587.00165,-679.53394,1000.0,-733.9904,52.69651,-685.10284,-817.68665,1000.0,-113.02618408203125,165000,102.96293544769287,,32
-700.6958,53.583794,-637.2362,-768.29333,1000.0,-732.2083,121.13307,-493.58786,-831.262,1000.0,-112.82207489013672,170000,106.0365800857544,,33
-741.7602,33.87146,-697.98596,-780.493,1000.0,-640.1881,78.23814,-512.52026,-722.5409,1000.0,-97.18701934814453,175000,109.12982487678528,,34
-701.4326,24.993536,-672.7875,-733.6886,1000.0,-716.4041,71.8055,-632.7267,-847.0375,1000.0,-110.4740219116211,180000,112.1837899684906,,35
-695.45264,39.755604,-639.47095,-727.94885,1000.0,-712.4274,59.354332,-616.0773,-799.29315,1000.0,-109.16534423828125,185000,115.2987756729126,,36
-708.3545,29.010399,-673.23157,-744.2787,1000.0,-646.14856,72.57936,-508.05084,-706.7745,1000.0,-97.93624877929688,190000,118.34591484069824,,37
-654.5146,10.954897,-640.3764,-667.0699,1000.0,-640.65393,42.063515,-568.9407,-689.2274,1000.0,-97.99689483642578,195000,121.37610197067261,,38
-611.4185,77.43367,-505.94647,-689.6633,1000.0,-560.44324,95.40321,-440.7976,-706.8183,1000.0,-85.06941986083984,200000,124.50838804244995,,39
-567.4073,21.755917,-547.035,-597.5611,1000.0,-545.0373,47.46039,-480.04745,-602.3423,1000.0,-82.40667724609375,205000,127.61751294136047,,40
-572.60034,23.024586,-540.0387,-588.92346,1000.0,-518.7616,44.143356,-471.0961,-586.8478,1000.0,-78.48173522949219,210000,130.72112250328064,,41
-539.57074,48.572643,-474.59308,-591.3567,1000.0,-559.2092,55.799416,-500.50143,-660.15283,1000.0,-83.72858428955078,215000,133.80001759529114,,42
-563.1901,22.726793,-536.17303,-591.77576,1000.0,-499.5914,63.35237,-424.9312,-595.95795,1000.0,-74.44963836669922,220000,136.8622977733612,,43
-584.6098,52.16864,-517.6089,-644.85925,1000.0,-498.71075,51.956142,-411.4491,-569.0369,1000.0,-74.39209747314453,225000,139.92829275131226,,44
-547.5986,49.54063,-479.27838,-595.2002,1000.0,-541.9448,42.118683,-488.37173,-604.9261,1000.0,-80.48058319091797,230000,143.04386234283447,,45
-514.6968,22.326908,-483.14236,-531.4619,1000.0,-555.8668,79.45988,-490.73264,-693.4546,1000.0,-82.0444107055664,235000,146.27100896835327,,46
-524.4051,72.20589,-433.235,-609.8216,1000.0,-523.5912,52.231728,-443.58945,-602.07104,1000.0,-77.6707763671875,240000,149.37169647216797,,47
-547.4655,22.776606,-515.8749,-568.7093,1000.0,-510.64087,83.78165,-382.6277,-642.5691,1000.0,-75.22515106201172,245000,152.49727702140808,,48
-517.4636,32.927372,-471.28674,-545.7567,1000.0,-517.0726,37.75964,-465.89758,-569.2796,1000.0,-76.2782211303711,250000,155.586678981781,,49
-516.0965,36.846672,-489.7862,-568.2048,1000.0,-522.88245,28.755566,-482.8365,-550.1709,1000.0,-77.14189910888672,255000,158.7643437385559,,50
-467.12997,39.170925,-412.071,-499.94403,1000.0,-520.1937,34.308937,-470.1827,-573.7332,1000.0,-75.98957061767578,260000,161.9608190059662,,51
-553.4859,40.354652,-502.86176,-601.6156,1000.0,-504.4378,36.821236,-457.2739,-560.6623,1000.0,-73.13619995117188,265000,165.09489631652832,,52
-575.2972,33.562862,-532.3293,-614.2459,1000.0,-539.282,31.306898,-499.52466,-580.17566,1000.0,-78.24816131591797,270000,168.26021766662598,,53
