Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-756.99243,73.9171,-695.9934,-861.0103,1000.0,-594.56573,67.38726,-522.7903,-706.10657,1000.0,-100.58858489990234,5000,3.2606382369995117,-594.56573,0
-698.79816,44.136982,-641.7264,-749.2251,1000.0,-743.5326,42.061085,-680.57104,-806.6389,1000.0,-123.85049438476562,10000,6.425681114196777,,1
-807.9287,48.382637,-747.9453,-866.4303,1000.0,-722.61444,37.639923,-660.0679,-772.2742,1000.0,-121.88129425048828,15000,9.446982860565186,,2
-905.533,25.35194,-872.19434,-933.6251,1000.0,-796.6988,88.47387,-683.2237,-944.2681,1000.0,-132.76702880859375,20000,12.47466230392456,,3
-946.2834,89.48585,-836.3303,-1055.5215,1000.0,-824.13184,22.954615,-793.77765,-852.9051,1000.0,-137.5292205810547,25000,15.485152959823608,,4
-1001.3216,107.30278,-911.8926,-1152.209,1000.0,-863.0292,89.062355,-746.1647,-1006.92224,1000.0,-142.712890625,30000,18.49973201751709,,5
-1099.9025,28.15024,-1072.8956,-1138.7363,1000.0,-951.0428,128.64255,-816.94727,-1144.6724,1000.0,-158.1230010986328,35000,21.522634983062744,,6
-1044.3444,47.041454,-1004.0559,-1110.3359,1000.0,-1092.9095,41.961956,-1023.36304,-1127.5498,1000.0,-180.997314453125,40000,24.545157432556152,,7
-1228.1932,75.06739,-1149.1006,-1329.066,1000.0,-1189.0532,159.83902,-951.5114,-1378.2283,1000.0,-196.70628356933594,45000,27.613107681274414,,8
-1195.0449,16.117167,-1173.8855,-1212.9631,1000.0,-1069.8188,73.174904,-997.8033,-1205.8022,1000.0,-175.5052490234375,50000,30.657018661499023,,9
-983.1936,85.62193,-916.4885,-1104.0647,1000.0,-1104.0035,87.71065,-996.7626,-1219.3212,1000.0,-180.45152282714844,55000,33.75827121734619,,10
-944.7368,26.915794,-924.791,-982.7867,1000.0,-1109.6877,74.29205,-1017.1501,-1220.874,1000.0,-181.36463928222656,60000,36.81493306159973,,11
-934.1362,82.310646,-835.8796,-1037.3181,1000.0,-892.53534,53.974953,-815.7189,-974.0668,1000.0,-144.64266967773438,65000,39.88272428512573,,12
-868.4539,85.51461,-779.39526,-983.83905,1000.0,-880.5379,57.04986,-781.16547,-956.17456,1000.0,-143.19036865234375,70000,42.89473032951355,,13
-883.33813,27.26976,-844.9118,-905.38354,1000.0,-874.5957,62.66634,-753.9302,-931.6925,1000.0,-141.87156677246094,75000,45.98303771018982,,14
-965.33887,33.15264,-938.1354,-1012.0106,1000.0,-922.2838,45.970978,-866.1022,-990.40216,1000.0,-148.86900329589844,80000,49.06269645690918,,15
-830.19745,3.5740201,-825.7904,-834.5443,1000.0,-891.7562,55.270752,-805.0713,-952.78217,1000.0,-142.58152770996094,85000,52.13170003890991,,16
-867.8586,58.429035,-799.10657,-941.9309,1000.0,-891.43567,22.020203,-861.7707,-914.7457,1000.0,-142.45045471191406,90000,55.217365741729736,,17
-895.2217,82.30609,-784.4186,-981.5011,1000.0,-948.5082,51.145824,-876.20654,-1006.57404,1000.0,-151.77328491210938,95000,58.397263050079346,,18
-829.0716,42.48757,-769.3594,-864.72675,1000.0,-838.958,75.58105,-695.75964,-908.9027,1000.0,-133.3030242919922,100000,61.487791776657104,,19
-852.9948,12.801884,-839.9839,-870.40295,1000.0,-871.3587,91.03022,-725.9567,-989.1898,1000.0,-138.29232788085938,105000,64.5807785987854,,20
-808.7122,74.3141,-706.42737,-880.7649,1000.0,-857.7004,92.047455,-732.02936,-963.8446,1000.0,-135.94219970703125,110000,67.77427887916565,,21
-639.126,31.80685,-594.6931,-667.40906,1000.0,-760.5338,67.05142,-664.7797,-871.94446,1000.0,-120.2114486694336,115000,70.83364796638489,,22
-693.9207,73.146706,-601.0541,-779.8192,1000.0,-705.7995,72.39786,-587.5691,-778.8595,1000.0,-111.35794830322266,120000,73.84611082077026,,23
-759.8384,16.77846,-739.6134,-780.6974,1000.0,-746.74866,99.57765,-608.9304,-870.626,1000.0,-118.0189437866211,125000,76.89649176597595,,24
-654.05585,72.63035,-552.8359,-719.7865,1000.0,-706.38116,65.84216,-630.66455,-792.52625,1000.0,-111.44694519042969,130000,79.99191904067993,,25
