Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
17.474577,8.912676,45.0,8.0,17.47457627118644,9.248848,5.4462447,32.0,3.0,9.248847926267281,-0.033646635711193085,2007,0.7119956016540527,9.248848,0
24.390244,9.241682,52.0,10.0,24.390243902439025,17.866072,7.7384653,51.0,6.0,17.866071428571427,0.014555824920535088,4008,1.3517677783966064,,1
36.82143,17.044174,97.0,18.0,36.82142857142857,23.882353,11.602648,82.0,8.0,23.88235294117647,0.0051629128865897655,6038,1.89359450340271,,2
39.26923,16.989946,78.0,16.0,39.26923076923077,33.9,14.419547,71.0,9.0,33.9,-0.016285832971334457,8072,2.4462318420410156,,3
35.0,15.926556,74.0,10.0,35.0,37.27778,19.054907,105.0,10.0,37.27777777777778,-0.014339256100356579,10085,2.9949421882629395,,4
54.31579,28.839031,129.0,26.0,54.31578947368421,36.375,20.29036,127.0,11.0,36.375,0.0012315610656514764,12122,3.548513174057007,,5
96.09091,48.295406,233.0,59.0,96.0909090909091,42.659573,21.22852,100.0,11.0,42.659574468085104,-0.002642251318320632,14127,4.088887453079224,,6
86.15385,34.87747,147.0,35.0,86.15384615384616,66.19355,30.324503,180.0,24.0,66.19354838709677,-0.013738085515797138,16179,4.672525882720947,,7
59.0,23.933733,100.0,23.0,59.0,83.958336,37.993946,215.0,42.0,83.95833333333333,0.0006191168795339763,18194,5.26443076133728,,8
62.333332,43.476685,175.0,26.0,62.333333333333336,72.28571,28.917192,151.0,13.0,72.28571428571429,-0.03644741699099541,20218,5.855737209320068,,9
42.333332,26.73429,96.0,7.0,42.333333333333336,54.0,31.514408,184.0,13.0,54.0,-0.024452192708849907,22270,6.421787261962891,,10
49.666668,18.612165,100.0,25.0,49.666666666666664,53.076923,28.202003,152.0,4.0,53.07692307692308,-0.01256469078361988,24340,6.996168851852417,,11
68.666664,19.386135,100.0,36.0,68.66666666666667,60.588234,40.374073,193.0,15.0,60.588235294117645,-0.01004719827324152,26400,7.579482793807983,,12
85.916664,19.315186,121.0,49.0,85.91666666666667,61.78788,35.750614,136.0,11.0,61.78787878787879,-0.03706461191177368,28439,8.160073280334473,,13
99.63636,26.455013,152.0,43.0,99.63636363636364,83.5,25.977554,132.0,28.0,83.5,-0.00810295157134533,30443,8.744974136352539,,14
113.666664,44.40971,164.0,38.0,113.66666666666667,111.666664,21.617893,153.0,50.0,111.66666666666667,-0.010168464854359627,32453,9.316689014434814,,15
177.66667,53.605556,274.0,107.0,177.66666666666666,140.53334,30.15486,233.0,107.0,140.53333333333333,-0.02506817691028118,34561,9.952613592147827,,16
122.888885,31.568073,159.0,63.0,122.88888888888889,203.0,76.43036,377.0,89.0,203.0,-0.02316681481897831,36591,10.683957815170288,,17
135.5,16.17869,156.0,103.0,135.5,138.5,35.357105,221.0,90.0,138.5,-0.0017915236530825496,38807,11.395724534988403,,18
161.71428,16.653736,198.0,142.0,161.71428571428572,130.125,27.72155,163.0,58.0,130.125,-0.023388072848320007,40889,12.102065801620483,,19
216.6,35.713303,267.0,164.0,216.6,169.75,20.628157,204.0,137.0,169.75,0.0044138613156974316,42926,12.787912607192993,,20
301.75,52.542244,350.0,223.0,301.75,241.33333,55.244907,385.0,189.0,241.33333333333334,-0.005925765261054039,45098,13.577900886535645,,21
386.66666,15.151091,406.0,369.0,386.6666666666667,402.8,128.74068,640.0,284.0,402.8,-0.03312426805496216,47112,14.43874454498291,,22
690.0,142.0,832.0,548.0,690.0,363.16666,47.57246,452.0,303.0,363.1666666666667,-0.01087826956063509,49291,15.304447889328003,,23
488.66666,361.9736,1000.0,212.0,488.6666666666667,769.6667,115.30057,899.0,619.0,769.6666666666666,0.006227931939065456,51600,16.525309324264526,,24
1000.0,0.0,1000.0,1000.0,1000.0,582.5,316.744,1000.0,130.0,582.5,0.02090870402753353,53930,17.620468378067017,,25
661.0,291.0,952.0,370.0,661.0,250.0,180.43074,567.0,29.0,250.0,-0.011141796596348286,55930,18.499464988708496,,26
1000.0,0.0,1000.0,1000.0,1000.0,571.5,252.13141,1000.0,352.0,571.5,-0.01048583909869194,58216,19.60159206390381,,27
871.0,129.0,1000.0,742.0,871.0,1000.0,0.0,1000.0,1000.0,1000.0,0.006059738341718912,60216,20.88340139389038,,28
337.25,29.877876,376.0,292.0,337.25,1000.0,0.0,1000.0,1000.0,1000.0,0.005986421834677458,62216,22.06597876548767,,29
323.0,23.270153,361.0,304.0,323.0,340.66666,19.049643,367.0,315.0,340.6666666666667,-0.005544125102460384,64260,22.87292790412903,,30
239.0,2.9664795,243.0,236.0,239.0,318.2857,18.31248,339.0,287.0,318.2857142857143,-0.01677636429667473,66488,23.68653154373169,,31
188.66667,3.4960294,195.0,184.0,188.66666666666666,236.33333,14.445299,258.0,210.0,236.33333333333334,-0.003136502578854561,68615,24.411478281021118,,32
170.33333,7.45356,182.0,160.0,170.33333333333334,189.90909,8.815838,204.0,177.0,189.9090909090909,0.0040758149698376656,70704,25.082591772079468,,33
221.2,13.905395,239.0,202.0,221.2,168.5,7.5553513,190.0,160.0,168.5,-0.0014904207782819867,72726,25.75718116760254,,34
1000.0,0.0,1000.0,1000.0,1000.0,224.77777,19.389446,253.0,190.0,224.77777777777777,-0.03987263888120651,74749,26.462878227233887,,35
1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,0.004450846929103136,76749,27.589922428131104,,36
270.25,288.674,770.0,89.0,270.25,751.3333,185.14378,1000.0,556.0,751.3333333333334,-0.007698665373027325,79003,28.722830533981323,,37
101.8,36.40824,176.0,49.0,101.8,167.25,132.90543,451.0,51.0,167.25,0.006126058753579855,81010,29.405824184417725,,38
102.2,37.46945,159.0,45.0,102.2,93.454544,58.031914,226.0,40.0,93.45454545454545,0.011074181646108627,83066,30.004945039749146,,39
1000.0,0.0,1000.0,1000.0,1000.0,117.85714,94.696655,494.0,53.0,117.85714285714286,0.0024082630407065153,85541,30.726720571517944,,40
1000.0,0.0,1000.0,1000.0,1000.0,688.6667,440.29184,1000.0,66.0,688.6666666666666,-0.015095213428139687,87607,31.81932520866394,,41
1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,0.01617472991347313,89607,32.889697313308716,,42
1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,-0.003449012991040945,91607,33.96534872055054,,43
