Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
17.416666,12.544975,59.0,4.0,17.416666666666668,8.759826,5.258302,42.0,3.0,8.759825327510917,-0.032922565937042236,2006,0.7351970672607422,8.759826,0
30.848484,15.703931,85.0,9.0,30.848484848484848,16.974577,9.134088,52.0,5.0,16.97457627118644,-0.025924181565642357,4009,1.3985710144042969,,1
40.04,15.787286,71.0,14.0,40.04,28.742857,14.141817,82.0,6.0,28.742857142857144,-0.027594130486249924,6021,1.931044101715088,,2
58.944443,17.759106,95.0,35.0,58.94444444444444,34.016666,15.193739,79.0,9.0,34.016666666666666,-0.029675042256712914,8062,2.483747959136963,,3
41.875,13.7365465,69.0,16.0,41.875,45.622223,16.592218,89.0,13.0,45.62222222222222,-0.028352152556180954,10115,3.022604465484619,,4
43.608696,12.984068,63.0,11.0,43.608695652173914,45.31111,18.007187,86.0,13.0,45.31111111111111,0.018782418221235275,12154,3.603822708129883,,5
35.96552,14.233235,64.0,13.0,35.96551724137931,44.577778,21.428423,142.0,13.0,44.577777777777776,0.01501131895929575,14160,4.169552326202393,,6
39.076923,13.702676,67.0,10.0,39.07692307692308,35.596493,14.200148,75.0,11.0,35.59649122807018,-0.015268704853951931,16189,4.742943286895752,,7
35.103447,14.6648655,61.0,9.0,35.10344827586207,36.454544,16.521961,102.0,7.0,36.45454545454545,-0.006481598597019911,18194,5.347371339797974,,8
41.16,11.4845295,67.0,18.0,41.16,37.90566,16.061516,88.0,9.0,37.905660377358494,0.00967306550592184,20203,5.942150831222534,,9
41.76,13.857215,73.0,11.0,41.76,41.163265,13.175962,85.0,13.0,41.16326530612245,-0.012819796800613403,22220,6.539648771286011,,10
54.2,23.133526,121.0,32.0,54.2,43.826088,10.24123,69.0,29.0,43.82608695652174,-0.011150917038321495,24236,7.173328399658203,,11
60.27778,19.901999,92.0,31.0,60.27777777777778,50.75,17.4051,104.0,26.0,50.75,-0.01974104717373848,26266,7.7936930656433105,,12
