Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
11.563218,7.075458,52.0,4.0,11.563218390804598,9.236162,5.1069326,31.0,3.0,9.236162361623617,16.704132080078125,5006,1.3270506858825684,9.236162,0
16.241936,9.387166,60.0,5.0,16.241935483870968,13.020833,8.304089,50.0,3.0,13.020833333333334,25.398784637451172,10006,2.6558122634887695,,1
24.560976,19.01482,121.0,4.0,24.5609756097561,18.32967,11.168101,69.0,4.0,18.32967032967033,34.999595642089844,15010,3.82019305229187,,2
27.578947,16.994783,86.0,5.0,27.57894736842105,23.03211,14.50637,86.0,3.0,23.03211009174312,44.826908111572266,20031,4.973361492156982,,3
30.878788,14.049172,70.0,11.0,30.87878787878788,28.867817,14.739882,80.0,4.0,28.867816091954023,50.38288879394531,25054,6.067479133605957,,4
41.68,21.469458,99.0,11.0,41.68,30.901234,16.579851,97.0,9.0,30.901234567901234,55.14083480834961,30060,7.186549663543701,,5
52.894737,18.909466,116.0,30.0,52.89473684210526,38.623077,20.764343,170.0,9.0,38.62307692307692,69.2095947265625,35081,8.305797576904297,,6
57.72222,28.69728,156.0,13.0,57.72222222222222,45.864864,22.897533,135.0,11.0,45.86486486486486,78.40584564208984,40172,9.439223766326904,,7
55.736843,24.322054,118.0,20.0,55.73684210526316,52.91579,22.509254,121.0,11.0,52.915789473684214,85.065673828125,45199,10.5400869846344,,8
46.409092,16.848682,81.0,13.0,46.40909090909091,54.225807,22.825722,150.0,14.0,54.225806451612904,88.666748046875,50242,11.630481958389282,,9
53.36842,21.337416,107.0,18.0,53.36842105263158,56.055557,23.389627,131.0,14.0,56.05555555555556,90.01757049560547,55287,12.737357139587402,,10
45.652172,15.804813,73.0,15.0,45.65217391304348,52.479168,20.148397,119.0,13.0,52.479166666666664,82.18771362304688,60325,13.84072208404541,,11
40.24,13.066844,60.0,16.0,40.24,46.416668,17.408558,99.0,8.0,46.416666666666664,71.69536590576172,65338,14.947665214538574,,12
41.75,15.945871,89.0,11.0,41.75,46.934578,17.733896,94.0,13.0,46.93457943925234,72.2779541015625,70360,16.081958532333374,,13
45.47826,14.93426,78.0,14.0,45.47826086956522,45.11607,15.954033,89.0,12.0,45.11607142857143,68.5819320678711,75413,17.189289331436157,,14
36.607143,12.726068,62.0,15.0,36.607142857142854,40.387096,16.593191,78.0,11.0,40.38709677419355,63.98926544189453,80421,18.29603362083435,,15
37.148148,15.536584,63.0,10.0,37.148148148148145,38.272728,16.742292,112.0,10.0,38.27272727272727,61.46213150024414,85473,19.417667865753174,,16
36.42857,14.440589,78.0,12.0,36.42857142857143,37.661655,15.165695,80.0,12.0,37.661654135338345,59.6429328918457,90482,20.52096700668335,,17
46.090908,17.191195,92.0,18.0,46.09090909090909,37.544777,15.183758,83.0,9.0,37.54477611940298,58.615177154541016,95513,21.630611896514893,,18
40.56,11.744206,65.0,13.0,40.56,39.56693,16.959234,97.0,10.0,39.56692913385827,63.14636993408203,100538,22.76636528968811,,19
44.565216,15.196756,85.0,21.0,44.56521739130435,46.302753,20.202871,113.0,11.0,46.30275229357798,73.28150177001953,105585,23.928606033325195,,20
51.05,14.568717,76.0,23.0,51.05,46.055046,16.852755,100.0,10.0,46.055045871559635,70.47771453857422,110605,25.036264896392822,,21
61.82353,22.919899,111.0,28.0,61.8235294117647,51.387756,16.678001,108.0,15.0,51.38775510204081,76.49779510498047,115641,26.10003113746643,,22
57.11111,15.150683,82.0,35.0,57.111111111111114,57.636364,22.314478,143.0,12.0,57.63636363636363,88.40955352783203,120713,27.144935607910156,,23
56.555557,19.070694,90.0,18.0,56.55555555555556,59.77381,22.659672,151.0,12.0,59.773809523809526,90.66769409179688,125734,28.16020369529724,,24
61.294117,16.541445,103.0,39.0,61.294117647058826,58.59302,22.650724,123.0,12.0,58.593023255813954,90.20059967041016,130773,29.206927061080933,,25
79.0,19.303247,117.0,43.0,79.0,64.128204,27.59569,239.0,29.0,64.12820512820512,101.86966705322266,135775,30.24990439414978,,26
63.6875,21.04079,106.0,34.0,63.6875,70.041664,27.905315,159.0,20.0,70.04166666666667,109.19654846191406,140818,31.26940631866455,,27
84.0,40.399925,173.0,34.0,84.0,82.86885,32.33456,191.0,28.0,82.8688524590164,128.67771911621094,145873,32.29719138145447,,28
80.53846,26.134607,113.0,40.0,80.53846153846153,83.8,32.318108,172.0,27.0,83.8,127.28813171386719,150901,33.324066162109375,,29
91.09091,19.979328,122.0,56.0,91.0909090909091,93.22222,31.433449,173.0,36.0,93.22222222222223,140.4540557861328,155935,34.37779474258423,,30
129.11111,37.87243,209.0,74.0,129.11111111111111,87.05173,29.24358,188.0,26.0,87.05172413793103,127.78142547607422,160984,35.527382612228394,,31
139.0,65.679146,276.0,52.0,139.0,105.729164,39.271355,185.0,30.0,105.72916666666667,161.35121154785156,166059,36.611456871032715,,32
