Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-173.51938,89.46916,-63.96292,-363.0078,90.6086956521739,-171.5101,89.936134,-28.627846,-433.388,87.82608695652173,-71.91734313964844,9501.357421875,2020,1.506225824356079,-171.5101,0
-160.29938,91.32831,-60.193527,-362.734,88.91304347826087,-205.97118,109.11793,-12.502998,-413.377,105.26315789473684,-71.30699920654297,12233.2568359375,4020,2.9025893211364746,,1
-159.97816,81.08447,-73.556175,-348.38074,84.70833333333333,-157.93555,84.97684,-60.447098,-378.4477,91.5,-57.813289642333984,7368.0771484375,6033,4.11844277381897,,2
-159.58412,87.19288,-47.89996,-409.765,92.0909090909091,-139.314,62.335617,-8.847595,-281.67908,87.52173913043478,-48.97819137573242,5051.142578125,8046,5.344151735305786,,3
-121.88955,58.57947,-4.2006836,-242.41304,89.1304347826087,-131.84824,66.56947,-61.60545,-317.37823,89.3913043478261,-43.790992736816406,4282.7158203125,10102,6.605884075164795,,4
-124.35131,55.459545,-53.945778,-264.0685,86.0,-153.1064,91.485016,20.751873,-383.85895,90.17391304347827,-48.416542053222656,6421.0615234375,12176,7.865888357162476,,5
-132.04366,62.308422,-39.558556,-269.42694,90.78260869565217,-121.47665,58.46547,32.27237,-190.135,96.14285714285714,-30.00390625,2962.27783203125,14195,9.117096662521362,,6
-124.29327,63.41167,20.611778,-247.4685,95.31818181818181,-124.321495,68.08898,-32.97106,-327.77563,99.33333333333333,-30.208547592163086,3436.39111328125,16281,10.418033838272095,,7
-157.11328,99.09212,-28.287811,-375.52094,97.95238095238095,-120.39974,47.51015,-50.62914,-252.8292,101.95,-24.962717056274414,2080.22705078125,18320,11.716168403625488,,8
-127.30446,95.65971,54.376472,-324.45862,113.0,-149.95537,83.1582,-41.99052,-329.15115,108.47368421052632,-32.549102783203125,4498.744140625,20381,12.996521472930908,,9
-111.89814,65.68114,13.302383,-278.66568,106.05263157894737,-120.41701,55.981003,-45.9588,-287.09018,101.85,-22.62946128845215,2329.343505859375,22418,14.178126573562622,,10
-139.46457,79.198166,12.769573,-299.23746,119.88235294117646,-116.66868,88.45291,-15.392715,-349.1092,107.78947368421052,-16.26466178894043,2815.7099609375,24466,15.38137173652649,,11
-121.95614,71.50496,-26.20996,-310.02017,114.72222222222223,-113.03473,89.26303,-17.501839,-432.34515,102.45,-15.356440544128418,3298.644775390625,26515,16.60672354698181,,12
-97.67706,75.865074,47.525993,-329.16586,112.94444444444444,-109.96141,73.584,6.8578033,-252.75203,116.72222222222223,-10.121532440185547,2111.89990234375,28616,17.866076469421387,,13
-74.32787,92.56268,35.176563,-245.73492,223.66666666666666,-83.634254,70.09323,8.207344,-267.6898,123.94117647058823,0.29427120089530945,2230.88037109375,30723,19.42986273765564,,14
-100.43886,76.56205,17.120323,-280.88922,123.0,-94.887405,78.433876,40.5232,-239.12714,122.41176470588235,-1.5544854402542114,2475.044189453125,32804,20.72778344154358,,15
-126.09099,57.353012,-34.68493,-270.8908,145.33333333333334,-112.377754,79.98199,-8.275621,-283.74435,136.33333333333334,-5.055948734283447,2243.776611328125,34849,22.105980157852173,,16
-110.60638,59.436172,-38.913628,-225.91214,233.33333333333334,-127.17559,69.792366,-28.826382,-260.6412,231.88888888888889,3.6370432376861572,1942.20849609375,36936,24.72200584411621,,17
-117.11134,66.96469,-29.386806,-190.08841,269.25,-148.45595,107.757935,-27.172241,-383.25623,164.0,-8.473055839538574,3454.267333984375,39068,26.756844758987427,,18
-88.146255,84.68791,-21.720497,-288.42523,328.2857142857143,-134.44565,110.74141,45.339638,-268.6787,292.57142857142856,6.291704177856445,3224.73828125,41116,29.268468379974365,,19
-209.77188,51.020092,-124.024376,-307.85547,238.66666666666666,-139.86346,87.62423,-7.7210083,-300.79797,228.0,0.18990077078342438,2519.462890625,43168,30.919944286346436,,20
-144.92595,94.50851,-22.673916,-287.52042,373.1666666666667,-149.34122,75.18055,29.546738,-264.98798,170.75,-8.283045768737793,1518.50732421875,45217,33.03400802612305,,21
-189.61945,95.83354,11.851559,-295.20862,256.3333333333333,-211.99916,106.88301,-62.623745,-350.79367,309.14285714285717,-2.5381581783294678,3696.92822265625,47381,35.03076767921448,,22
-189.91833,108.48199,-51.28832,-360.1688,303.2857142857143,-149.97485,164.8032,67.340034,-429.19034,283.25,2.663156747817993,3686.99560546875,49647,37.233603715896606,,23
-139.62502,110.75164,39.41147,-319.28824,374.875,-206.94536,138.94041,-15.890671,-457.53534,263.875,-4.647010803222656,3921.623779296875,51758,39.76755118370056,,24
-91.85525,11.296972,-79.32958,-106.70663,752.0,-115.992615,71.797646,-25.401657,-203.14233,417.2,11.070502281188965,1802.764404296875,53844,42.90246844291687,,25
