Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-211.69997,120.17353,-53.14134,-499.81683,91.34782608695652,-159.22803,108.37691,14.227913,-422.63342,88.47826086956522,-2.4399611949920654,10117.9736328125,2035,1.4395182132720947,-159.22803,0
-203.94876,115.642395,-68.88847,-414.77283,98.23809523809524,-196.87294,113.92523,-27.13726,-477.10016,87.95652173913044,-2.8939309120178223,13955.455078125,4058,2.853689670562744,,1
-153.17093,112.31879,6.1356735,-456.23712,101.7,-185.37871,100.60403,-21.865932,-441.2882,105.47368421052632,-2.1553966999053955,9340.2080078125,6062,4.133219242095947,,2
-173.5309,125.39514,24.817513,-409.63187,108.63157894736842,-206.7622,147.03542,50.13565,-394.099,202.5,-1.124871015548706,7554.548828125,8087,6.066652536392212,,3
-205.80229,136.52264,-29.685663,-498.01633,98.57142857142857,-193.45401,113.3746,-27.769638,-418.49197,99.33333333333333,-2.1952733993530273,10871.9892578125,10173,7.35141396522522,,4
-194.59082,116.118355,-14.278581,-446.28546,121.58823529411765,-146.7493,88.60533,-51.96342,-360.88373,106.25,-1.6122819185256958,5214.802734375,12298,8.719406843185425,,5
-183.84744,109.351456,-4.1830597,-375.8131,127.1875,-207.13734,127.18809,-7.8673916,-447.2393,109.57894736842105,-2.127002239227295,10026.1767578125,14380,10.065743446350098,,6
-185.87762,115.721886,-15.465996,-487.85883,128.3125,-243.79132,117.516075,-40.827217,-489.66022,129.5,-1.88315749168396,10335.5732421875,16452,11.437519311904907,,7
-231.91722,123.68014,-5.125183,-497.3227,124.82352941176471,-170.37439,109.7331,-43.91389,-511.4114,123.52941176470588,-1.4871634244918823,5334.41162109375,18552,12.785559177398682,,8
-242.42169,143.66685,-19.285934,-486.36118,166.66666666666666,-196.04654,130.31702,-38.338627,-513.0593,125.75,-1.3594900369644165,6574.0546875,20564,14.13516116142273,,9
-209.84923,124.87043,3.5569496,-395.39987,294.2857142857143,-247.99747,111.88038,-16.053467,-469.95868,138.53333333333333,-1.5045678615570068,8920.869140625,22642,15.93777084350586,,10
-237.4847,182.74585,22.81211,-539.4701,180.41666666666666,-241.49722,149.28554,-63.689026,-518.0259,145.35714285714286,-1.240281343460083,9453.865234375,24677,17.29479193687439,,11
-219.80128,139.74915,-53.880783,-490.09067,175.41666666666666,-265.86218,128.17647,-52.894302,-497.58853,140.6,-1.2735655307769775,8894.0087890625,26786,18.71635341644287,,12
-266.94708,172.56718,-31.622705,-649.5034,163.30769230769232,-241.61061,191.47516,40.956055,-539.7913,164.0,-0.904938280582428,10381.6513671875,28918,20.264612436294556,,13
-243.86656,161.76305,-25.387886,-574.86597,162.69230769230768,-256.41306,132.51254,-46.680885,-467.15137,164.46153846153845,-1.0340181589126587,7560.8681640625,31056,21.7385151386261,,14
-162.90907,138.7244,-21.841255,-503.01178,158.46153846153845,-233.5562,145.62463,11.610687,-506.28223,170.25,-0.9376170039176941,5382.61279296875,33099,23.12889528274536,,15
-187.09885,81.17715,-11.735107,-320.61908,164.84615384615384,-290.33084,85.467094,-147.57083,-470.66223,157.07692307692307,-1.3267607688903809,6927.66455078125,35141,24.548743724822998,,16
-227.64935,98.83146,-68.02953,-391.2354,190.72727272727272,-163.9748,112.549164,5.2349854,-349.17416,162.07692307692307,-0.6196838021278381,3889.949462890625,37248,26.031831741333008,,17
-170.25835,119.03404,5.425049,-323.45386,147.14285714285714,-189.55002,138.61075,5.51931,-536.8729,147.14285714285714,-0.8334125280380249,4778.44482421875,39308,27.457271575927734,,18
-160.3426,101.3186,-9.298927,-333.28207,251.375,-160.4338,116.52387,-7.476034,-371.58673,168.91666666666666,-0.7145213484764099,3304.05712890625,41335,29.58722734451294,,19
-198.70139,131.55467,-72.51451,-515.78467,262.5,-175.12964,110.44372,22.173264,-355.8616,150.5,-0.6908175945281982,3924.0634765625,43442,31.268351316452026,,20
-163.35425,97.60908,-19.784237,-332.8905,176.41666666666666,-172.14069,119.99168,50.97641,-364.0194,177.5,-0.5016942024230957,3466.335693359375,45572,32.6957688331604,,21
-196.77568,98.341286,-3.4691162,-350.41003,169.0,-179.65883,85.53962,-56.77012,-329.30035,290.2857142857143,-0.04588779807090759,3603.413330078125,47604,34.69863843917847,,22
-323.0299,106.12588,-168.7579,-551.9474,233.55555555555554,-172.53673,158.43045,5.2138824,-377.29208,313.0,0.027548130601644516,4145.322265625,49795,36.934728145599365,,23
-218.37584,126.04603,-35.162148,-401.87512,191.8181818181818,-205.48575,112.2718,-11.0069275,-394.77148,225.2,-0.46711984276771545,2131.9306640625,52047,38.58204245567322,,24
-200.74535,85.29714,-46.550564,-341.18158,237.77777777777777,-125.0928,136.97487,40.13872,-365.03748,305.7142857142857,0.10285485535860062,4055.836669921875,54187,40.93382406234741,,25
-101.5751,95.144516,-4.1801147,-217.52103,601.25,-208.50635,186.04051,49.798996,-551.056,237.44444444444446,-0.35116511583328247,4352.609375,56324,43.45322275161743,,26
-185.74828,106.767685,-33.714745,-419.3425,184.72727272727272,-209.94443,95.49085,-8.862022,-343.61823,195.63636363636363,-0.3859212100505829,2128.1826171875,58476,44.99861669540405,,27
-137.26952,73.94546,20.833035,-251.24426,177.75,-139.4418,94.88643,15.27066,-292.8153,292.7,-0.001954188570380211,3016.6787109375,61403,47.97969460487366,,28
-129.75076,78.02128,-17.49908,-237.7673,389.1666666666667,-76.597435,108.02912,63.46778,-241.2714,335.42857142857144,0.20700670778751373,3957.875,63751,50.774170875549316,,29
-121.74618,58.157032,-26.208237,-180.45763,408.4,-164.27791,95.73501,-7.652931,-291.49423,351.42857142857144,0.22681117057800293,3349.128662109375,66211,53.51640725135803,,30
-31.04405,112.930695,85.51888,-215.22375,311.0,-144.07974,111.0946,3.8340836,-265.09326,308.85714285714283,0.12894292175769806,3126.330810546875,68373,56.06813716888428,,31
-52.432495,53.636646,14.783791,-156.69345,273.3333333333333,-95.319664,106.13373,9.643734,-277.12512,287.14285714285717,0.030749740079045296,3813.531005859375,70383,58.68171048164368,,32
-122.083115,97.133514,7.691239,-293.78363,200.2,-47.44751,91.50405,54.346832,-189.37091,292.57142857142856,0.25630009174346924,4216.18310546875,72431,60.808111906051636,,33
-94.13629,66.04348,2.3544693,-172.43729,345.6666666666667,-91.04173,63.97356,6.3357086,-168.8187,228.88888888888889,0.0738227516412735,2881.02783203125,74491,63.006043434143066,,34
-115.762245,118.72299,69.865585,-252.54277,356.6666666666667,-172.41011,89.68399,-8.418116,-284.56717,222.44444444444446,-0.09850799292325974,2369.0283203125,76493,64.98838329315186,,35
-106.85407,57.0021,-37.874252,-219.02107,333.8333333333333,-107.46023,72.93541,-8.106365,-209.20221,381.1666666666667,0.2514003813266754,2457.135498046875,78780,67.81574177742004,,36
