Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
50.9,33.037704,141.0,23.0,50.9,0,,,,,,,,
,,,,,8,9.0,9,,,,,,
,,,,,16,8.0,8,,,,,,
,,,,,25,9.0,9,,,,,,
,,,,,35,10.0,10,,,,,,
,,,,,44,9.0,9,,,,,,
,,,,,53,9.0,9,,,,,,
,,,,,62,9.0,9,,,,,,
,,,,,72,10.0,10,,,,,,
,,,,,82,10.0,10,,,,,,
,,,,,91,9.0,9,,,,,,
,,,,,102,11.0,11,,,,,,
,,,,,112,10.0,10,,,,,,
,,,,,120,8.0,8,,,,,,
,,,,,129,9.0,9,,,,,,
,,,,,139,10.0,10,,,,,,
,,,,,147,8.0,8,,,,,,
,,,,,157,10.0,10,,,,,,
,,,,,167,10.0,10,,,,,,
,,,,,177,10.0,10,,,,,,
,,,,,186,9.0,9,,,,,,
,,,,,196,10.0,10,,,,,,
,,,,,204,8.0,8,,,,,,
,,,,,214,10.0,10,,,,,,
,,,,,224,10.0,10,,,,,,
,,,,,233,9.0,9,,,,,,
,,,,,242,9.0,9,,,,,,
,,,,,252,10.0,10,,,,,,
,,,,,262,10.0,10,,,,,,
,,,,,272,10.0,10,,,,,,
,,,,,282,10.0,10,,,,,,
,,,,,290,8.0,8,,,,,,
,,,,,299,9.0,9,,,,,,
,,,,,309,10.0,10,,,,,,
,,,,,318,9.0,9,,,,,,
,,,,,328,10.0,10,,,,,,
,,,,,338,10.0,10,,,,,,
,,,,,347,9.0,9,,,,,,
,,,,,358,11.0,11,,,,,,
,,,,,367,9.0,9,,,,,,
,,,,,378,11.0,11,,,,,,
,,,,,388,10.0,10,,,,,,
,,,,,398,10.0,10,,,,,,
,,,,,408,10.0,10,,,,,,
,,,,,419,11.0,11,,,,,,
,,,,,428,9.0,9,,,,,,
,,,,,438,10.0,10,,,,,,
,,,,,447,9.0,9,,,,,,
,,,,,458,11.0,11,,,,,,
,,,,,468,10.0,10,,,,,,
,,,,,479,11.0,11,,,,,,
,,,,,489,10.0,10,,,,,,
,,,,,498,9.0,9,,,,,,
,,,,,507,9.0,9,,,,,,
,,,,,516,9.0,9,,,,,,
,,,,,524,8.0,8,,,,,,
,,,,,533,9.0,9,,,,,,
,,,,,543,10.0,10,,,,,,
,,,,,552,9.0,9,,,,,,
,,,,,561,9.0,9,,,,,,
,,,,,571,10.0,10,,,,,,
,,,,,581,10.0,10,,,,,,
,,,,,591,10.0,10,,,,,,
,,,,,600,9.0,9,,,,,,
,,,,,610,10.0,10,,,,,,
,,,,,620,10.0,10,,,,,,
,,,,,629,9.0,9,,,,,,
,,,,,638,9.0,9,,,,,,
,,,,,648,10.0,10,,,,,,
,,,,,658,10.0,10,,,,,,
,,,,,667,9.0,9,,,,,,
,,,,,675,8.0,8,,,,,,
,,,,,684,9.0,9,,,,,,
,,,,,692,8.0,8,,,,,,
,,,,,700,8.0,8,,,,,,
,,,,,709,9.0,9,,,,,,
,,,,,720,11.0,11,,,,,,
,,,,,728,8.0,8,,,,,,
,,,,,739,11.0,11,,,,,,
,,,,,748,9.0,9,,,,,,
,,,,,757,9.0,9,,,,,,
,,,,,766,9.0,9,,,,,,
,,,,,775,9.0,9,,,,,,
,,,,,786,11.0,11,,,,,,
,,,,,795,9.0,9,,,,,,
,,,,,804,9.0,9,,,,,,
,,,,,813,9.0,9,,,,,,
,,,,,823,10.0,10,,,,,,
,,,,,833,10.0,10,,,,,,
,,,,,841,8.0,8,,,,,,
,,,,,849,8.0,8,,,,,,
,,,,,860,11.0,11,,,,,,
,,,,,869,9.0,9,,,,,,
,,,,,880,11.0,11,,,,,,
,,,,,889,9.0,9,,,,,,
,,,,,898,9.0,9,,,,,,
,,,,,908,10.0,10,,,,,,
,,,,,917,9.0,9,,,,,,
,,,,,927,10.0,10,,,,,,
,,,,,937,10.0,10,,,,,,
,,,,,946,9.0,9,,,,,,
,,,,,956,10.0,10,,,,,,
,,,,,965,9.0,9,,,,,,
,,,,,973,8.0,8,,,,,,
,,,,,982,9.0,9,,,,,,
,,,,,992,10.0,10,,,,,,
,,,,,1000,,,1.4327425956726074,0.08488393574953079,1.2730326652526855,6.749773025512695,0.97,0.0005
,,,,,1002,10.0,10,,,,,,
,,,,,1014,12.0,12,,,,,,
,,,,,1031,17.0,17,,,,,,
,,,,,1043,12.0,12,,,,,,
,,,,,1054,11.0,11,,,,,,
,,,,,1064,10.0,10,,,,,,
,,,,,1074,10.0,10,,,,,,
,,,,,1084,10.0,10,,,,,,
,,,,,1098,14.0,14,,,,,,
,,,,,1113,15.0,15,,,,,,
,,,,,1135,22.0,22,,,,,,
,,,,,1163,28.0,28,,,,,,
,,,,,1184,21.0,21,,,,,,
,,,,,1205,21.0,21,,,,,,
,,,,,1223,18.0,18,,,,,,
,,,,,1241,18.0,18,,,,,,
,,,,,1262,21.0,21,,,,,,
,,,,,1285,23.0,23,,,,,,
,,,,,1302,17.0,17,,,,,,
,,,,,1316,14.0,14,,,,,,
,,,,,1332,16.0,16,,,,,,
,,,,,1347,15.0,15,,,,,,
,,,,,1360,13.0,13,,,,,,
,,,,,1373,13.0,13,,,,,,
,,,,,1388,15.0,15,,,,,,
,,,,,1400,12.0,12,,,,,,
,,,,,1416,16.0,16,,,,,,
,,,,,1432,16.0,16,,,,,,
,,,,,1446,14.0,14,,,,,,
,,,,,1462,16.0,16,,,,,,
,,,,,1473,11.0,11,,,,,,
,,,,,1489,16.0,16,,,,,,
,,,,,1500,11.0,11,,,,,,
,,,,,1516,16.0,16,,,,,,
,,,,,1529,13.0,13,,,,,,
,,,,,1546,17.0,17,,,,,,
,,,,,1561,15.0,15,,,,,,
,,,,,1575,14.0,14,,,,,,
,,,,,1589,14.0,14,,,,,,
,,,,,1601,12.0,12,,,,,,
,,,,,1614,13.0,13,,,,,,
,,,,,1630,16.0,16,,,,,,
,,,,,1645,15.0,15,,,,,,
,,,,,1655,10.0,10,,,,,,
,,,,,1670,15.0,15,,,,,,
,,,,,1681,11.0,11,,,,,,
,,,,,1694,13.0,13,,,,,,
,,,,,1709,15.0,15,,,,,,
,,,,,1721,12.0,12,,,,,,
,,,,,1734,13.0,13,,,,,,
,,,,,1746,12.0,12,,,,,,
,,,,,1756,10.0,10,,,,,,
,,,,,1766,10.0,10,,,,,,
,,,,,1777,11.0,11,,,,,,
,,,,,1790,13.0,13,,,,,,
,,,,,1802,12.0,12,,,,,,
,,,,,1821,19.0,19,,,,,,
,,,,,1833,12.0,12,,,,,,
,,,,,1846,13.0,13,,,,,,
,,,,,1858,12.0,12,,,,,,
,,,,,1869,11.0,11,,,,,,
,,,,,1879,10.0,10,,,,,,
,,,,,1891,12.0,12,,,,,,
,,,,,1903,12.0,12,,,,,,
,,,,,1919,16.0,16,,,,,,
