Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
-233.39502,52.125202,-145.08928,-312.3668,1000.0,0,,,,,,,,,,,,
,,,,,999,-206.25403,1000,,,,,,,,,,
,,,,,1999,-332.3879,1000,,,,,,,,,,
,,,,,2999,-293.88925,1000,,,,,,,,,,
,,,,,3999,-263.37344,1000,,,,,,,,,,
,,,,,4999,-183.49974,1000,,,,,,,,,,
-239.16328,51.520752,-164.95706,-349.72308,1000.0,5000,,,,,,,,,,,,
,,,,,5999,-258.44128,1000,,,,,,,,,,
,,,,,6999,-163.15068,1000,,,,,,,,,,
,,,,,7999,-223.22696,1000,,,,,,,,,,
,,,,,8999,-178.14647,1000,,,,,,,,,,
,,,,,9999,-278.15787,1000,,,,,,,,,,
-252.79265,76.47079,-158.77335,-444.36893,1000.0,10000,,,-0.34804242849349976,3.7372584342956543,0.4565581679344177,-0.018262889236211777,0.03094729408621788,0.10000000149011612,-22.31305694580078,0.0003,0.0003,0.09999001026153564
,,,,,10999,-210.46909,1000,,,,,,,,,,
,,,,,11000,,,-2.318342685699463,2.2785024642944336,0.522620677947998,1.592256784439087,1.6074212789535522,0.09069114923477173,-19.90264129638672,0.0003,0.0003,0.09068235009908676
,,,,,11999,-242.96606,1000,,,,,,,,,,
,,,,,12000,,,-3.5933737754821777,2.57039475440979,0.6029459238052368,3.0086781978607178,3.117661952972412,0.082013338804245,-21.579378128051758,0.0003,0.0003,0.08200503140687943
,,,,,12999,-238.64937,1000,,,,,,,,,,
,,,,,13000,,,-5.4318647384643555,1.6478571891784668,0.6134993433952332,4.816522598266602,4.782686710357666,0.07446813583374023,-19.928279876708984,0.0003,0.0003,0.07446103543043137
,,,,,13999,-214.9387,1000,,,,,,,,,,
,,,,,14000,,,-7.455263137817383,0.939850926399231,0.7326364517211914,6.659829139709473,6.663627624511719,0.06779339164495468,-18.514068603515625,0.0003,0.0003,0.06778702139854431
,,,,,14999,-176.64221,1000,,,,,,,,,,
-102.279434,23.789719,-64.330215,-130.77391,1000.0,15000,,,-9.197220802307129,1.0319080352783203,0.5531641244888306,8.379809379577637,8.538366317749023,0.061718180775642395,-19.173110961914062,0.0003,0.0003,0.061712294816970825
,,,,,15999,-60.80711,1000,,,,,,,,,,
,,,,,16000,,,-11.610123634338379,0.2936738133430481,0.41403114795684814,10.771217346191406,10.85658073425293,0.056169766932725906,-17.490909576416016,0.0003,0.0003,0.05616459622979164
,,,,,16999,-27.217344,1000,,,,,,,,,,
,,,,,17000,,,-12.977721214294434,0.2509874105453491,0.4044284522533417,12.209285736083984,12.281620025634766,0.051051896065473557,-18.352581024169922,0.0003,0.0003,0.05104711279273033
,,,,,17999,81.21948,1000,,,,,,,,,,
,,,,,18000,,,-14.102387428283691,-0.12084489315748215,0.3606668710708618,13.489127159118652,13.500171661376953,0.046459976583719254,-17.66407012939453,0.0003,0.0003,0.0464557483792305
,,,,,18999,35.216404,1000,,,,,,,,,,
,,,,,19000,,,-15.992666244506836,-0.43346700072288513,0.4561234712600708,15.352259635925293,15.456442832946777,0.042355727404356,-17.950313568115234,0.0003,0.0003,0.04235176742076874
,,,,,19999,287.66794,1000,,,,,,,,,,
522.34094,120.91931,766.72363,329.49124,1000.0,20000,,,-16.86920738220215,-1.0208828449249268,0.49165213108062744,16.28318977355957,16.133174896240234,0.03866870701313019,-16.083454132080078,0.0003,0.0003,0.03866525739431381
,,,,,20999,513.5624,1000,,,,,,,,,,
,,,,,21000,,,-19.96208381652832,-2.3159542083740234,0.4375858008861542,19.225557327270508,19.22625160217285,0.03542328625917435,-12.408876419067383,0.0003,0.0003,0.03542028367519379
,,,,,21999,507.40424,1000,,,,,,,,,,
,,,,,22000,,,-21.813154220581055,-2.3452606201171875,0.6250354647636414,21.024322509765625,20.96086311340332,0.03253203630447388,-11.770282745361328,0.0003,0.0003,0.032529182732105255
,,,,,22999,954.6165,1000,,,,,,,,,,
,,,,,23000,,,-24.71811866760254,-3.026402473449707,0.42328107357025146,23.934019088745117,23.9638614654541,0.029943760484457016,-10.469551086425781,0.0003,0.0003,0.029941318556666374
,,,,,23999,1202.3848,1000,,,,,,,,,,
,,,,,24000,,,-26.79520606994629,-3.23610258102417,0.46226996183395386,26.01837158203125,26.040142059326172,0.027578487992286682,-8.944263458251953,0.0003,0.0003,0.02757621929049492
,,,,,24999,1335.4296,1000,,,,,,,,,,
1421.0496,38.889526,1502.7406,1376.2601,1000.0,25000,,,-30.828628540039062,-3.727956533432007,0.4405389726161957,30.026762008666992,29.869583129882812,0.02553390897810459,-7.053983688354492,0.0003,0.0003,0.025532003492116928
,,,,,25999,1444.7009,1000,,,,,,,,,,
,,,,,26000,,,-35.692039489746094,-5.0711565017700195,0.513518214225769,34.76396179199219,34.79299545288086,0.023856695741415024,-3.5992774963378906,0.0003,0.0003,0.023855235427618027
,,,,,26999,1778.7122,1000,,,,,,,,,,
,,,,,27000,,,-39.09282684326172,-5.786999702453613,0.6456656455993652,38.14057540893555,38.230125427246094,0.02261572703719139,-1.318105936050415,0.0003,0.0003,0.022614801302552223
,,,,,27999,1860.3751,1000,,,,,,,,,,
,,,,,28000,,,-43.024566650390625,-6.366703987121582,0.542798638343811,42.01354217529297,42.03041458129883,0.02190929278731346,0.9531258344650269,0.0003,0.0003,0.0219090785831213
,,,,,28999,2033.6937,1000,,,,,,,,,,
,,,,,29000,,,-50.15464401245117,-6.2980756759643555,0.7018716931343079,49.03510284423828,49.01805114746094,0.022109366953372955,1.935028076171875,0.0003,0.0003,0.0221104733645916
,,,,,29999,2100.8467,1000,,,,,,,,,,
2016.3998,372.09598,2176.8115,903.22986,1000.0,30000,,,-55.260189056396484,-6.100655555725098,0.7164969444274902,54.14303970336914,54.104164123535156,0.023113971576094627,0.38854050636291504,0.0003,0.0003,0.023114556446671486
,,,,,30999,2184.2026,1000,,,,,,,,,,
,,,,,31000,,,-62.55001449584961,-5.8220343589782715,0.6096818447113037,61.30995178222656,61.312538146972656,0.024404246360063553,-0.17936570942401886,0.0003,0.0003,0.024404698982834816
,,,,,31999,2231.3318,1000,,,,,,,,,,
,,,,,32000,,,-67.75337982177734,-6.096357345581055,0.7359732389450073,66.3596420288086,66.56155395507812,0.025816360488533974,0.40531086921691895,0.0003,0.0003,0.02581828273832798
,,,,,32999,2355.6025,1000,,,,,,,,,,
,,,,,33000,,,-72.46907043457031,-6.2724528312683105,0.732372522354126,71.1954345703125,71.11539459228516,0.027014750987291336,1.1983191967010498,0.0003,0.0003,0.027016479521989822
,,,,,33999,2366.95,1000,,,,,,,,,,
,,,,,34000,,,-80.58273315429688,-6.152620315551758,0.7853420972824097,79.26290130615234,79.3991470336914,0.02831474505364895,0.2159879505634308,0.0003,0.0003,0.028315043076872826
,,,,,34999,2491.4202,1000,,,,,,,,,,
2192.5732,711.0373,2626.5044,301.90982,1000.0,35000,,,-85.38829040527344,-6.414525032043457,0.8125565648078918,83.96016693115234,83.95738220214844,0.02903074584901333,1.9699435234069824,0.0003,0.0003,0.0290323905646801
,,,,,35999,2546.8535,1000,,,,,,,,,,
,,,,,36000,,,-91.60455322265625,-6.13615608215332,0.6682724952697754,90.3160400390625,90.26802062988281,0.030350061133503914,-0.11542350053787231,0.0003,0.0003,0.030351947993040085
,,,,,36999,2551.074,1000,,,,,,,,,,
,,,,,37000,,,-99.82616424560547,-5.990544319152832,0.6187538504600525,98.58726501464844,98.6438217163086,0.03143754228949547,-0.04772275686264038,0.0003,0.0003,0.03143849968910217
,,,,,37999,2645.9014,1000,,,,,,,,,,
,,,,,38000,,,-103.10945892333984,-6.48579740524292,0.6285746097564697,101.74394989013672,101.87701416015625,0.032491061836481094,1.513177752494812,0.0003,0.0003,0.03249293565750122
,,,,,38999,2698.2087,1000,,,,,,,,,,
,,,,,39000,,,-113.38206481933594,-6.072685718536377,0.6169794797897339,112.0366439819336,111.90773010253906,0.03352144733071327,0.24524295330047607,0.0003,0.0003,0.03352241590619087
,,,,,39999,2735.3801,1000,,,,,,,,,,
2451.688,767.88885,2932.6228,725.1823,1000.0,40000,,,-117.96050262451172,-5.9658660888671875,0.6847180724143982,116.62691497802734,116.65115356445312,0.03481597080826759,-0.40633416175842285,0.0003,0.0003,0.034817565232515335
,,,,,40999,2561.3228,1000,,,,,,,,,,
,,,,,41000,,,-123.23556518554688,-6.0958709716796875,0.9076542854309082,121.8813247680664,121.79895782470703,0.03604600578546524,1.1854519844055176,0.0003,0.0003,0.03604825213551521
,,,,,41999,1033.0354,1000,,,,,,,,,,
,,,,,42000,,,-128.9572296142578,-5.892398834228516,0.7889978885650635,127.69630432128906,127.74687194824219,0.03543219715356827,-0.609113335609436,0.0003,0.0003,0.03543003275990486
,,,,,42999,381.34457,1000,,,,,,,,,,
,,,,,43000,,,-129.0848846435547,-5.683502197265625,0.8255859613418579,127.90155792236328,127.92074584960938,0.03218333050608635,-1.8192235231399536,0.0003,0.0003,0.03217945247888565
,,,,,43999,2859.946,1000,,,,,,,,,,
,,,,,44000,,,-133.19088745117188,-6.195838451385498,0.6237828135490417,132.00894165039062,132.1346893310547,0.02971903420984745,0.6423472166061401,0.0003,0.0003,0.02971823140978813
,,,,,44999,2834.2856,1000,,,,,,,,,,
2440.3691,885.09106,3040.718,480.44315,1000.0,45000,,,-136.8587646484375,-5.849452495574951,0.6771450042724609,135.75782775878906,135.762939453125,0.028622247278690338,-0.6142898797988892,0.0003,0.0003,0.028621414676308632
,,,,,45999,2859.8154,1000,,,,,,,,,,
,,,,,46000,,,-144.67723083496094,-5.810332298278809,0.6201388835906982,143.56028747558594,143.52517700195312,0.028605950996279716,-1.1359326839447021,0.0003,0.0003,0.028604883700609207
,,,,,46999,2902.154,1000,,,,,,,,,,
,,,,,47000,,,-147.87136840820312,-5.927606582641602,0.6533799171447754,146.95343017578125,146.9284210205078,0.02960083819925785,-0.4645073711872101,0.0003,0.0003,0.029602384194731712
,,,,,47999,2441.5576,1000,,,,,,,,,,
,,,,,48000,,,-153.4139404296875,-6.068805694580078,1.0448668003082275,152.25393676757812,152.33131408691406,0.030553245916962624,-1.1212018728256226,0.0003,0.0003,0.03055206499993801
,,,,,48999,2963.7676,1000,,,,,,,,,,
,,,,,49000,,,-158.48468017578125,-6.587543487548828,0.8130542635917664,157.32095336914062,157.35699462890625,0.0313626304268837,1.1341556310653687,0.0003,0.0003,0.031363409012556076
,,,,,49999,2799.2114,1000,,,,,,,,,,
2890.0186,437.94003,3158.6892,1658.5243,1000.0,50000,,,-162.6005859375,-6.088818550109863,0.5997281074523926,161.38479614257812,161.402099609375,0.031757570803165436,0.2302655279636383,0.0003,0.0003,0.03175903484225273
,,,,,50999,1974.1786,1000,,,,,,,,,,
,,,,,51000,,,-165.62716674804688,-6.785433769226074,0.7821301817893982,164.3667449951172,164.56069946289062,0.03275172412395477,2.138624668121338,0.0003,0.0003,0.032755933701992035
,,,,,51999,3006.0237,1000,,,,,,,,,,
,,,,,52000,,,-166.33609008789062,-5.768105506896973,0.774966835975647,165.33401489257812,165.31341552734375,0.03257105126976967,-0.3265494406223297,0.0003,0.0003,0.03257153183221817
,,,,,52999,3110.5183,1000,,,,,,,,,,
,,,,,53000,,,-173.3621826171875,-6.25218391418457,0.7418102025985718,172.1593780517578,172.15823364257812,0.03293429687619209,0.9267182946205139,0.0003,0.0003,0.032937582582235336
,,,,,53999,3188.2917,1000,,,,,,,,,,
,,,,,54000,,,-172.8611602783203,-5.825167655944824,1.3141586780548096,171.5711212158203,171.4431610107422,0.03362720087170601,-0.3639870882034302,0.0003,0.0003,0.033625852316617966
,,,,,54999,3206.1082,1000,,,,,,,,,,
3226.6775,57.235256,3284.1,3113.5876,1000.0,55000,,,-182.13099670410156,-6.49984073638916,1.9458441734313965,180.47015380859375,180.65664672851562,0.034384481608867645,1.5146760940551758,0.0003,0.0003,0.034384746104478836
,,,,,55999,3302.088,1000,,,,,,,,,,
,,,,,56000,,,-181.5114288330078,-5.933109760284424,0.9421328902244568,180.232421875,180.20193481445312,0.035161782056093216,-0.42254936695098877,0.0003,0.0003,0.03516314923763275
,,,,,56999,3219.6882,1000,,,,,,,,,,
,,,,,57000,,,-189.82388305664062,-5.78092098236084,0.7968915104866028,188.80294799804688,188.6121368408203,0.0361177958548069,-0.13375446200370789,0.0003,0.0003,0.036119475960731506
,,,,,57999,3344.0542,1000,,,,,,,,,,
,,,,,58000,,,-191.8979034423828,-6.216339111328125,0.9688774347305298,190.73367309570312,190.9047088623047,0.03748931735754013,0.3480583131313324,0.0003,0.0003,0.03749199956655502
,,,,,58999,3345.3616,1000,,,,,,,,,,
,,,,,59000,,,-200.22576904296875,-5.935365676879883,0.9688611030578613,199.25242614746094,199.38192749023438,0.038829244673252106,-0.058707818388938904,0.0003,0.0003,0.038830168545246124
,,,,,59999,3380.9822,1000,,,,,,,,,,
3226.6316,37.557144,3318.3716,3175.5476,1000.0,60000,,,-202.4241485595703,-6.045736312866211,0.9187302589416504,201.2427978515625,201.23367309570312,0.0399150513112545,0.37759488821029663,0.0003,0.0003,0.03991714119911194
,,,,,60999,3324.9045,1000,,,,,,,,,,
,,,,,61000,,,-200.1693878173828,-6.131581783294678,0.8770959377288818,198.9877471923828,198.92144775390625,0.041190821677446365,1.2328770160675049,0.0003,0.0003,0.04119233042001724
,,,,,61999,3380.7922,1000,,,,,,,,,,
,,,,,62000,,,-206.21603393554688,-5.910348892211914,0.9049369692802429,204.9140167236328,205.00387573242188,0.042634639889001846,0.25372573733329773,0.0003,0.0003,0.04263647273182869
,,,,,62999,3460.391,1000,,,,,,,,,,
,,,,,63000,,,-213.36036682128906,-6.5600409507751465,1.4502639770507812,212.07420349121094,212.15994262695312,0.043596792966127396,1.4600317478179932,0.0003,0.0003,0.043599408119916916
,,,,,63999,3312.1924,1000,,,,,,,,,,
,,,,,64000,,,-214.9499969482422,-5.97181510925293,1.1097737550735474,213.7047882080078,213.693359375,0.04438462480902672,-0.7501653432846069,0.0003,0.0003,0.044384993612766266
,,,,,64999,3444.653,1000,,,,,,,,,,
3127.4429,978.10266,3505.739,194.91983,1000.0,65000,,,-224.08456420898438,-6.2114057540893555,0.9918224811553955,223.09579467773438,223.10043334960938,0.04530689865350723,0.27312034368515015,0.0003,0.0003,0.04530911520123482
,,,,,65999,3519.0825,1000,,,,,,,,,,
,,,,,66000,,,-230.28436279296875,-5.906026840209961,1.0989649295806885,229.1485137939453,229.05429077148438,0.046267472207546234,-0.27695465087890625,0.0003,0.0003,0.04626832157373428
,,,,,66999,3511.5422,1000,,,,,,,,,,
,,,,,67000,,,-236.52296447753906,-5.921985626220703,0.9971227049827576,235.3597412109375,235.400390625,0.047185566276311874,0.25634944438934326,0.0003,0.0003,0.047186002135276794
,,,,,67999,251.07936,1000,,,,,,,,,,
,,,,,68000,,,-225.8762969970703,-6.3084564208984375,1.2138583660125732,224.5117950439453,224.5975341796875,0.046092234551906586,0.3131551742553711,0.0003,0.0003,0.0460921935737133
,,,,,68999,3493.4077,1000,,,,,,,,,,
,,,,,69000,,,-235.58901977539062,-5.86799430847168,1.045690894126892,234.26345825195312,234.4226531982422,0.04304180666804314,-0.6369376182556152,0.0003,0.0003,0.04303891211748123
,,,,,69999,2247.1924,1000,,,,,,,,,,
3653.019,35.373367,3716.8047,3596.5415,1000.0,70000,,,-237.10772705078125,-5.878271579742432,0.9892411231994629,236.1573486328125,236.09799194335938,0.04073195904493332,0.11863789707422256,0.0003,0.0003,0.04073154181241989
,,,,,70999,763.61615,1000,,,,,,,,,,
,,,,,71000,,,-235.53555297851562,-5.7021331787109375,0.9717085361480713,234.51681518554688,234.50222778320312,0.03932644799351692,-0.6337384581565857,0.0003,0.0003,0.03932492062449455
,,,,,71999,3714.354,1000,,,,,,,,,,
,,,,,72000,,,-235.40927124023438,-5.739357948303223,0.9448224902153015,234.37692260742188,234.33682250976562,0.03856046497821808,-0.4305655062198639,0.0003,0.0003,0.038559362292289734
,,,,,72999,3768.2622,1000,,,,,,,,,,
,,,,,73000,,,-247.8267822265625,-5.694512367248535,0.7749850153923035,246.84970092773438,246.6941680908203,0.037878893315792084,-0.843695342540741,0.0003,0.0003,0.03787864372134209
,,,,,73999,3688.3958,1000,,,,,,,,,,
,,,,,74000,,,-243.16358947753906,-5.689697265625,0.9414604306221008,242.16323852539062,242.27513122558594,0.0379120334982872,0.025061309337615967,0.0003,0.0003,0.03791308403015137
,,,,,74999,3684.3293,1000,,,,,,,,,,
3671.602,74.08533,3736.1707,3455.7354,1000.0,75000,,,-247.7084503173828,-5.719546794891357,0.8672724962234497,246.783447265625,246.72804260253906,0.0382123626768589,0.008036240935325623,0.0003,0.0003,0.038213472813367844
,,,,,75999,3719.7874,1000,,,,,,,,,,
,,,,,76000,,,-238.74700927734375,-5.872880935668945,1.188627004623413,237.72796630859375,237.85769653320312,0.03883263096213341,-0.38323429226875305,0.0003,0.0003,0.03883374109864235
