Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-243.46094,53.874474,-128.41495,-315.73486,1000.0,0,,,,,,,,,,
,,,,,999,-172.30164,1000,,,,,,,,
,,,,,1999,-364.91144,1000,,,,,,,,
,,,,,2999,-236.81291,1000,,,,,,,,
,,,,,3999,-322.78714,1000,,,,,,,,
,,,,,4999,-239.06085,1000,,,,,,,,
-218.99165,69.65433,-102.77616,-322.3173,1000.0,5000,,,,,,,,,,
,,,,,5999,-255.13159,1000,,,,,,,,
,,,,,6999,-161.8259,1000,,,,,,,,
,,,,,7999,-225.64738,1000,,,,,,,,
,,,,,8999,-179.68483,1000,,,,,,,,
,,,,,9999,-235.30132,1000,,,,,,,,
-240.50456,69.99241,-133.8943,-352.81067,1000.0,10000,,,-0.3597528040409088,3.7638862133026123,0.40514183044433594,-0.0138254938647151,0.07095959782600403,0.0003,0.0003,0.1
,,,,,10999,-174.38702,1000,,,,,,,,
,,,,,11000,,,-2.6219329833984375,2.183605432510376,0.4762609899044037,1.8756080865859985,1.803941011428833,0.0003,0.0003,0.1
,,,,,11999,-221.9224,1000,,,,,,,,
,,,,,12000,,,-3.896466016769409,3.276843786239624,0.7190259695053101,3.3035526275634766,3.459604263305664,0.0003,0.0003,0.1
,,,,,12999,-159.04968,1000,,,,,,,,
,,,,,13000,,,-5.190721035003662,2.7627978324890137,1.0154316425323486,4.5784125328063965,4.407739162445068,0.0003,0.0003,0.1
,,,,,13999,-234.66258,1000,,,,,,,,
,,,,,14000,,,-7.047779560089111,2.406414270401001,0.7096621990203857,6.364735126495361,6.527361869812012,0.0003,0.0003,0.1
,,,,,14999,-245.61876,1000,,,,,,,,
-198.47409,16.770473,-169.51881,-222.14539,1000.0,15000,,,-9.74472427368164,2.202258348464966,0.7481935024261475,8.887551307678223,8.979636192321777,0.0003,0.0003,0.1
,,,,,15999,-182.05438,1000,,,,,,,,
,,,,,16000,,,-12.179037094116211,2.099709987640381,0.5260953903198242,11.351491928100586,11.44211196899414,0.0003,0.0003,0.1
,,,,,16999,-203.4108,1000,,,,,,,,
,,,,,17000,,,-13.872491836547852,2.25496506690979,0.5215091109275818,12.990808486938477,12.96533203125,0.0003,0.0003,0.1
,,,,,17999,-59.331318,1000,,,,,,,,
,,,,,18000,,,-16.28900909423828,1.934658169746399,0.5846213698387146,15.455506324768066,15.560126304626465,0.0003,0.0003,0.1
,,,,,18999,-104.35311,1000,,,,,,,,
,,,,,19000,,,-17.67041778564453,2.046208381652832,0.45575523376464844,16.818866729736328,16.866256713867188,0.0003,0.0003,0.1
,,,,,19999,106.502655,1000,,,,,,,,
294.70242,331.85178,939.3922,-86.057274,1000.0,20000,,,-19.650732040405273,1.8312997817993164,0.47660642862319946,18.820308685302734,18.841041564941406,0.0003,0.0003,0.1
,,,,,20999,-64.01992,1000,,,,,,,,
,,,,,21000,,,-21.936580657958984,1.5875329971313477,0.415966272354126,21.095989227294922,21.152612686157227,0.0003,0.0003,0.1
,,,,,21999,18.999865,1000,,,,,,,,
,,,,,22000,,,-22.615554809570312,1.9599450826644897,0.394828736782074,21.854393005371094,21.76177978515625,0.0003,0.0003,0.1
