Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
18.481659,7.3763103,31.67649,7.1578827,21.3,0,,,,,,,,,,
,,,,,16,16.509953,17,,,,,,,,
,,,,,39,26.15871,23,,,,,,,,
,,,,,70,16.936026,31,,,,,,,,
,,,,,89,13.673325,19,,,,,,,,
,,,,,107,11.093913,18,,,,,,,,
,,,,,139,14.424133,32,,,,,,,,
,,,,,175,34.66942,36,,,,,,,,
,,,,,219,72.41321,44,,,,,,,,
,,,,,235,14.3583355,16,,,,,,,,
,,,,,251,16.519869,16,,,,,,,,
,,,,,264,7.934053,13,,,,,,,,
,,,,,286,12.645275,22,,,,,,,,
,,,,,319,31.847948,33,,,,,,,,
,,,,,334,13.476289,15,,,,,,,,
,,,,,391,88.753525,57,,,,,,,,
,,,,,410,18.449444,19,,,,,,,,
,,,,,431,20.528568,21,,,,,,,,
,,,,,447,16.296665,16,,,,,,,,
,,,,,462,12.209586,15,,,,,,,,
,,,,,489,14.286015,27,,,,,,,,
,,,,,519,9.482424,30,,,,,,,,
,,,,,554,30.461378,35,,,,,,,,
,,,,,572,17.610092,18,,,,,,,,
,,,,,593,15.774723,21,,,,,,,,
,,,,,614,11.344675,21,,,,,,,,
,,,,,633,16.789246,19,,,,,,,,
,,,,,654,20.67287,21,,,,,,,,
,,,,,702,42.06027,48,,,,,,,,
,,,,,722,13.356196,20,,,,,,,,
,,,,,739,14.164444,17,,,,,,,,
,,,,,758,20.255438,19,,,,,,,,
,,,,,799,50.04019,41,,,,,,,,
,,,,,822,12.48514,23,,,,,,,,
,,,,,842,17.730915,20,,,,,,,,
,,,,,855,6.0656424,13,,,,,,,,
,,,,,874,16.762907,19,,,,,,,,
,,,,,898,23.789251,24,,,,,,,,
,,,,,933,48.33755,35,,,,,,,,
,,,,,950,14.897827,17,,,,,,,,
,,,,,971,7.4348536,21,,,,,,,,
,,,,,1005,26.014162,34,,,,,,,,
,,,,,1030,19.815851,25,,,,,,,,
,,,,,1050,7.0216436,20,,,,,,,,
,,,,,1065,12.4096985,15,,,,,,,,
,,,,,1085,20.701601,20,,,,,,,,
,,,,,1099,8.229428,14,,,,,,,,
,,,,,1120,10.067585,21,,,,,,,,
,,,,,1144,15.937394,24,,,,,,,,
,,,,,1155,10.357625,11,,,,,,,,
,,,,,1165,7.8844347,10,,,,,,,,
,,,,,1181,12.256188,16,,,,,,,,
,,,,,1234,74.26095,53,,,,,,,,
,,,,,1248,10.408393,14,,,,,,,,
,,,,,1269,12.364109,21,,,,,,,,
,,,,,1292,26.894035,23,,,,,,,,
,,,,,1335,62.698963,43,,,,,,,,
,,,,,1349,10.753742,14,,,,,,,,
,,,,,1363,10.784624,14,,,,,,,,
,,,,,1383,17.884266,20,,,,,,,,
,,,,,1395,9.570946,12,,,,,,,,
,,,,,1407,9.63837,12,,,,,,,,
,,,,,1454,19.998539,47,,,,,,,,
,,,,,1500,64.8904,46,,,,,,,,
,,,,,1530,12.981676,30,,,,,,,,
,,,,,1554,28.87788,24,,,,,,,,
,,,,,1571,7.5490026,17,,,,,,,,
,,,,,1585,9.552396,14,,,,,,,,
,,,,,1664,134.47913,79,,,,,,,,
,,,,,1675,7.966046,11,,,,,,,,
,,,,,1692,12.266037,17,,,,,,,,
,,,,,1720,19.552921,28,,,,,,,,
,,,,,1733,10.086629,13,,,,,,,,
,,,,,1758,14.975289,25,,,,,,,,
,,,,,1790,24.687635,32,,,,,,,,
,,,,,1808,8.468709,18,,,,,,,,
,,,,,1823,11.921117,15,,,,,,,,
,,,,,1856,39.88678,33,,,,,,,,
,,,,,1877,14.93454,21,,,,,,,,
,,,,,1903,28.111013,26,,,,,,,,
,,,,,1919,7.273975,16,,,,,,,,
,,,,,1948,30.921103,29,,,,,,,,
,,,,,1981,17.112432,33,,,,,,,,
,,,,,1993,10.567809,12,,,,,,,,
,,,,,2016,13.5140505,23,,,,,,,,
,,,,,2040,26.412775,24,,,,,,,,
,,,,,2067,28.168238,27,,,,,,,,
,,,,,2100,13.821304,33,,,,,,,,
,,,,,2122,19.200638,22,,,,,,,,
,,,,,2139,17.364136,17,,,,,,,,
,,,,,2158,11.850298,19,,,,,,,,
,,,,,2177,11.973694,19,,,,,,,,
,,,,,2196,16.64874,19,,,,,,,,
,,,,,2208,9.614968,12,,,,,,,,
,,,,,2216,5.8538384,8,,,,,,,,
,,,,,2229,12.038094,13,,,,,,,,
,,,,,2245,15.837268,16,,,,,,,,
,,,,,2255,8.088396,10,,,,,,,,
,,,,,2293,20.941486,38,,,,,,,,
,,,,,2303,7.7607865,10,,,,,,,,
,,,,,2313,6.05278,10,,,,,,,,
,,,,,2329,8.477441,16,,,,,,,,
,,,,,2341,9.604422,12,,,,,,,,
,,,,,2353,10.702804,12,,,,,,,,
,,,,,2384,25.203705,31,,,,,,,,
,,,,,2399,11.375252,15,,,,,,,,
,,,,,2442,47.186794,43,,,,,,,,
,,,,,2452,7.0055265,10,,,,,,,,
,,,,,2489,17.246185,37,,,,,,,,
,,,,,2527,27.20287,38,,,,,,,,
,,,,,2541,10.904136,14,,,,,,,,
,,,,,2566,12.833944,25,,,,,,,,
,,,,,2584,13.886996,18,,,,,,,,
,,,,,2596,10.032226,12,,,,,,,,
,,,,,2616,14.04665,20,,,,,,,,
,,,,,2629,9.88849,13,,,,,,,,
,,,,,2652,12.552376,23,,,,,,,,
,,,,,2685,35.17094,33,,,,,,,,
,,,,,2712,27.811495,27,,,,,,,,
,,,,,2735,12.01932,23,,,,,,,,
,,,,,2753,13.8064165,18,,,,,,,,
,,,,,2762,5.2791843,9,,,,,,,,
,,,,,2779,11.299617,17,,,,,,,,
,,,,,2794,9.460947,15,,,,,,,,
,,,,,2834,22.24407,40,,,,,,,,
,,,,,2846,9.476233,12,,,,,,,,
,,,,,2858,10.032048,12,,,,,,,,
,,,,,2868,5.943897,10,,,,,,,,
,,,,,2892,22.197412,24,,,,,,,,
,,,,,2916,24.18345,24,,,,,,,,
,,,,,2933,13.363401,17,,,,,,,,
,,,,,2950,11.857775,17,,,,,,,,
,,,,,2966,15.3082905,16,,,,,,,,
,,,,,2993,8.526349,27,,,,,,,,
,,,,,3007,10.464171,14,,,,,,,,
,,,,,3040,25.260393,33,,,,,,,,
,,,,,3056,8.2780695,16,,,,,,,,
,,,,,3073,14.036015,17,,,,,,,,
,,,,,3109,21.71976,36,,,,,,,,
