Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
19.435692,6.518112,30.521345,8.109678,22.3,0,,,,,,,,,,
,,,,,34,17.918447,35,,,,,,,,
,,,,,56,22.71061,22,,,,,,,,
,,,,,71,9.060897,15,,,,,,,,
,,,,,91,16.894758,20,,,,,,,,
,,,,,110,20.259922,19,,,,,,,,
,,,,,129,19.592348,19,,,,,,,,
,,,,,149,20.948835,20,,,,,,,,
,,,,,164,11.822537,15,,,,,,,,
,,,,,181,7.6970377,17,,,,,,,,
,,,,,206,13.998402,25,,,,,,,,
,,,,,220,12.807138,14,,,,,,,,
,,,,,254,45.54092,34,,,,,,,,
,,,,,272,20.25205,18,,,,,,,,
,,,,,306,18.156471,34,,,,,,,,
,,,,,337,33.612846,31,,,,,,,,
,,,,,351,11.16365,14,,,,,,,,
,,,,,375,24.068773,24,,,,,,,,
,,,,,391,10.132245,16,,,,,,,,
,,,,,411,10.253804,20,,,,,,,,
,,,,,422,8.693054,11,,,,,,,,
,,,,,432,7.9103107,10,,,,,,,,
,,,,,451,19.441431,19,,,,,,,,
,,,,,471,10.601858,20,,,,,,,,
,,,,,489,16.037867,18,,,,,,,,
,,,,,508,15.603212,19,,,,,,,,
,,,,,520,9.954583,12,,,,,,,,
,,,,,566,23.868011,46,,,,,,,,
,,,,,605,55.83852,39,,,,,,,,
,,,,,641,33.620552,36,,,,,,,,
,,,,,657,9.860131,16,,,,,,,,
,,,,,711,96.47755,54,,,,,,,,
,,,,,747,48.986214,36,,,,,,,,
,,,,,765,20.254631,18,,,,,,,,
,,,,,782,17.347242,17,,,,,,,,
,,,,,799,13.547957,17,,,,,,,,
,,,,,820,22.690105,21,,,,,,,,
,,,,,852,19.836325,32,,,,,,,,
,,,,,867,8.619728,15,,,,,,,,
,,,,,881,10.334149,14,,,,,,,,
,,,,,920,31.294771,39,,,,,,,,
,,,,,932,9.104793,12,,,,,,,,
,,,,,965,24.249434,33,,,,,,,,
,,,,,987,21.096622,22,,,,,,,,
,,,,,1015,12.830195,28,,,,,,,,
,,,,,1035,17.807737,20,,,,,,,,
,,,,,1049,11.707673,14,,,,,,,,
,,,,,1068,12.025275,19,,,,,,,,
,,,,,1081,7.244683,13,,,,,,,,
,,,,,1101,14.6741905,20,,,,,,,,
,,,,,1150,61.165752,49,,,,,,,,
,,,,,1222,99.25324,72,,,,,,,,
,,,,,1244,23.978275,22,,,,,,,,
,,,,,1257,7.3842463,13,,,,,,,,
,,,,,1292,47.33754,35,,,,,,,,
,,,,,1314,19.301983,22,,,,,,,,
,,,,,1330,7.3423257,16,,,,,,,,
,,,,,1348,14.394207,18,,,,,,,,
,,,,,1363,7.2065306,15,,,,,,,,
,,,,,1398,30.19867,35,,,,,,,,
,,,,,1415,9.038555,17,,,,,,,,
,,,,,1439,19.459648,24,,,,,,,,
,,,,,1452,7.5084186,13,,,,,,,,
,,,,,1462,8.153508,10,,,,,,,,
,,,,,1472,7.9079247,10,,,,,,,,
,,,,,1485,8.15147,13,,,,,,,,
,,,,,1511,21.045044,26,,,,,,,,
,,,,,1542,27.17198,31,,,,,,,,
,,,,,1556,11.951194,14,,,,,,,,
,,,,,1580,5.9029303,24,,,,,,,,
,,,,,1591,5.53268,11,,,,,,,,
,,,,,1691,214.25867,100,,,,,,,,
,,,,,1716,23.650742,25,,,,,,,,
,,,,,1732,10.449436,16,,,,,,,,
,,,,,1751,16.375767,19,,,,,,,,
,,,,,1781,15.414858,30,,,,,,,,
,,,,,1799,11.833266,18,,,,,,,,
,,,,,1825,20.245481,26,,,,,,,,
,,,,,1855,12.325899,30,,,,,,,,
,,,,,1878,16.129885,23,,,,,,,,
,,,,,1895,12.375099,17,,,,,,,,
,,,,,1917,16.282139,22,,,,,,,,
,,,,,1933,12.364971,16,,,,,,,,
,,,,,1968,43.3647,35,,,,,,,,
,,,,,1982,9.743683,14,,,,,,,,
,,,,,2000,15.4050455,18,,,,,,,,
,,,,,2024,24.55158,24,,,,,,,,
,,,,,2038,11.568393,14,,,,,,,,
,,,,,2071,29.960361,33,,,,,,,,
,,,,,2095,15.998013,24,,,,,,,,
,,,,,2107,9.441119,12,,,,,,,,
,,,,,2121,11.779975,14,,,,,,,,
,,,,,2131,5.538358,10,,,,,,,,
,,,,,2145,10.642969,14,,,,,,,,
,,,,,2158,10.503721,13,,,,,,,,
,,,,,2167,6.6882033,9,,,,,,,,
,,,,,2184,15.644934,17,,,,,,,,
,,,,,2205,17.060812,21,,,,,,,,
,,,,,2218,10.974444,13,,,,,,,,
,,,,,2252,22.3843,34,,,,,,,,
,,,,,2267,11.015134,15,,,,,,,,
,,,,,2297,29.106487,30,,,,,,,,
,,,,,2327,14.598947,30,,,,,,,,
,,,,,2340,13.1123495,13,,,,,,,,
,,,,,2361,11.960394,21,,,,,,,,
,,,,,2382,21.187796,21,,,,,,,,
,,,,,2393,7.7081037,11,,,,,,,,
,,,,,2405,8.175294,12,,,,,,,,
,,,,,2429,25.988796,24,,,,,,,,
,,,,,2454,17.310389,25,,,,,,,,
,,,,,2467,10.98736,13,,,,,,,,
,,,,,2490,23.395086,23,,,,,,,,
,,,,,2508,15.917174,18,,,,,,,,
,,,,,2521,11.143389,13,,,,,,,,
,,,,,2540,11.452313,19,,,,,,,,
,,,,,2552,7.54612,12,,,,,,,,
,,,,,2587,48.630856,35,,,,,,,,
,,,,,2599,6.7063394,12,,,,,,,,
,,,,,2612,9.55556,13,,,,,,,,
,,,,,2636,12.385706,24,,,,,,,,
,,,,,2646,8.360981,10,,,,,,,,
,,,,,2659,8.871923,13,,,,,,,,
,,,,,2676,16.286295,17,,,,,,,,
,,,,,2695,11.747647,19,,,,,,,,
,,,,,2709,10.719077,14,,,,,,,,
,,,,,2741,24.64626,32,,,,,,,,
,,,,,2774,33.248737,33,,,,,,,,
,,,,,2788,11.532964,14,,,,,,,,
,,,,,2802,10.131002,14,,,,,,,,
,,,,,2823,10.583359,21,,,,,,,,
,,,,,2850,9.249649,27,,,,,,,,
,,,,,2863,10.442013,13,,,,,,,,
,,,,,2886,18.311007,23,,,,,,,,
,,,,,2906,11.535896,20,,,,,,,,
,,,,,2928,18.476368,22,,,,,,,,
,,,,,2949,16.857489,21,,,,,,,,
,,,,,2960,8.335624,11,,,,,,,,
,,,,,2970,7.647676,10,,,,,,,,
,,,,,2998,27.163883,28,,,,,,,,
,,,,,3006,5.373776,8,,,,,,,,
,,,,,3023,10.732421,17,,,,,,,,
,,,,,3046,18.609234,23,,,,,,,,
,,,,,3064,8.887224,18,,,,,,,,
,,,,,3081,16.496044,17,,,,,,,,
,,,,,3129,62.50254,48,,,,,,,,
,,,,,3146,13.167774,17,,,,,,,,
,,,,,3170,13.479649,24,,,,,,,,
,,,,,3185,8.958473,15,,,,,,,,
,,,,,3258,109.67196,73,,,,,,,,
,,,,,3272,9.5498905,14,,,,,,,,
,,,,,3288,16.205507,16,,,,,,,,
,,,,,3299,9.744202,11,,,,,,,,
,,,,,3318,18.953705,19,,,,,,,,
,,,,,3333,13.527137,15,,,,,,,,
,,,,,3352,10.269474,19,,,,,,,,
,,,,,3398,62.73926,46,,,,,,,,
,,,,,3432,25.06695,34,,,,,,,,
,,,,,3441,6.7755246,9,,,,,,,,
,,,,,3456,11.063721,15,,,,,,,,
,,,,,3471,8.623927,15,,,,,,,,
,,,,,3483,7.8974204,12,,,,,,,,
,,,,,3503,12.950656,20,,,,,,,,
,,,,,3597,158.07997,94,,,,,,,,
,,,,,3646,77.70363,49,,,,,,,,
,,,,,3679,37.469288,33,,,,,,,,
,,,,,3689,8.9863825,10,,,,,,,,
,,,,,3702,10.895143,13,,,,,,,,
,,,,,3765,52.208443,63,,,,,,,,
,,,,,3780,13.643538,15,,,,,,,,
,,,,,3794,9.292842,14,,,,,,,,
,,,,,3810,11.615421,16,,,,,,,,
,,,,,3843,42.76282,33,,,,,,,,
,,,,,3859,9.943022,16,,,,,,,,
,,,,,3874,7.983991,15,,,,,,,,
,,,,,3894,19.71319,20,,,,,,,,
,,,,,3908,6.5035567,14,,,,,,,,
,,,,,3917,7.081148,9,,,,,,,,
,,,,,3959,13.173834,42,,,,,,,,
,,,,,3975,11.740281,16,,,,,,,,
,,,,,3990,16.028185,15,,,,,,,,
,,,,,4007,16.878803,17,,,,,,,,
,,,,,4031,8.535952,24,,,,,,,,
,,,,,4048,12.038822,17,,,,,,,,
,,,,,4066,14.987766,18,,,,,,,,
,,,,,4082,11.478845,16,,,,,,,,
,,,,,4103,12.385015,21,,,,,,,,
,,,,,4129,22.705145,26,,,,,,,,
,,,,,4151,23.387861,22,,,,,,,,
,,,,,4171,15.987185,20,,,,,,,,
,,,,,4201,19.65933,30,,,,,,,,
,,,,,4215,8.087413,14,,,,,,,,
,,,,,4229,9.834639,14,,,,,,,,
,,,,,4247,8.093299,18,,,,,,,,
,,,,,4263,13.708738,16,,,,,,,,
,,,,,4290,13.0739155,27,,,,,,,,
,,,,,4330,61.67975,40,,,,,,,,
,,,,,4372,36.256542,42,,,,,,,,
,,,,,4396,26.639864,24,,,,,,,,
,,,,,4412,5.914245,16,,,,,,,,
,,,,,4424,9.117126,12,,,,,,,,
,,,,,4446,19.772173,22,,,,,,,,
,,,,,4478,29.53302,32,,,,,,,,
,,,,,4492,12.506994,14,,,,,,,,
,,,,,4503,8.524673,11,,,,,,,,
,,,,,4513,7.1153264,10,,,,,,,,
,,,,,4542,27.087852,29,,,,,,,,
,,,,,4566,10.787321,24,,,,,,,,
,,,,,4598,12.186876,32,,,,,,,,
,,,,,4626,26.541424,28,,,,,,,,
,,,,,4654,12.092287,28,,,,,,,,
,,,,,4678,11.924132,24,,,,,,,,
,,,,,4695,15.728678,17,,,,,,,,
,,,,,4706,9.482412,11,,,,,,,,
,,,,,4734,31.08659,28,,,,,,,,
,,,,,4765,42.3836,31,,,,,,,,
,,,,,4795,26.310165,30,,,,,,,,
,,,,,4821,17.199936,26,,,,,,,,
,,,,,4852,21.858364,31,,,,,,,,
,,,,,4889,23.769772,37,,,,,,,,
,,,,,4907,15.994009,18,,,,,,,,
,,,,,4923,11.701722,16,,,,,,,,
,,,,,4941,12.475505,18,,,,,,,,
,,,,,4951,7.8056498,10,,,,,,,,
,,,,,4968,15.196654,17,,,,,,,,
,,,,,4997,13.742825,29,,,,,,,,
15.696208,8.064464,37.60459,7.9463205,20.4,5000,,,,,,,,,,
,,,,,5018,15.316718,21,,,,,,,,
,,,,,5050,34.63543,32,,,,,,,,
,,,,,5062,10.398869,12,,,,,,,,
,,,,,5083,12.990063,21,,,,,,,,
,,,,,5098,14.091972,15,,,,,,,,
,,,,,5113,11.355412,15,,,,,,,,
,,,,,5155,26.274834,42,,,,,,,,
,,,,,5196,22.462666,41,,,,,,,,
,,,,,5222,8.461447,26,,,,,,,,
,,,,,5243,15.9975605,21,,,,,,,,
,,,,,5262,20.404057,19,,,,,,,,
,,,,,5282,18.303717,20,,,,,,,,
,,,,,5301,4.8984957,19,,,,,,,,
,,,,,5317,14.667059,16,,,,,,,,
,,,,,5327,7.5729723,10,,,,,,,,
,,,,,5339,9.253824,12,,,,,,,,
,,,,,5366,23.7567,27,,,,,,,,
,,,,,5386,17.278484,20,,,,,,,,
,,,,,5400,12.602882,14,,,,,,,,
,,,,,5424,25.187265,24,,,,,,,,
,,,,,5442,18.273039,18,,,,,,,,
,,,,,5482,38.940647,40,,,,,,,,
,,,,,5501,20.043314,19,,,,,,,,
,,,,,5532,35.8587,31,,,,,,,,
,,,,,5551,21.3536,19,,,,,,,,
,,,,,5565,8.896691,14,,,,,,,,
,,,,,5584,16.7515,19,,,,,,,,
,,,,,5599,12.000511,15,,,,,,,,
,,,,,5616,10.455629,17,,,,,,,,
