Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
8.4,6.5299306,26.0,3.0,8.4,0,,,,,,,,
,,,,,3,4.0,4,,,,,,
,,,,,7,4.0,4,,,,,,
,,,,,11,4.0,4,,,,,,
,,,,,17,6.0,6,,,,,,
,,,,,25,8.0,8,,,,,,
,,,,,29,4.0,4,,,,,,
,,,,,42,13.0,13,,,,,,
,,,,,53,11.0,11,,,,,,
,,,,,57,4.0,4,,,,,,
,,,,,62,5.0,5,,,,,,
,,,,,68,6.0,6,,,,,,
,,,,,77,9.0,9,,,,,,
,,,,,80,3.0,3,,,,,,
,,,,,83,3.0,3,,,,,,
,,,,,86,3.0,3,,,,,,
,,,,,90,4.0,4,,,,,,
,,,,,102,12.0,12,,,,,,
,,,,,114,12.0,12,,,,,,
,,,,,126,12.0,12,,,,,,
,,,,,133,7.0,7,,,,,,
,,,,,137,4.0,4,,,,,,
,,,,,141,4.0,4,,,,,,
,,,,,146,5.0,5,,,,,,
,,,,,151,5.0,5,,,,,,
,,,,,157,6.0,6,,,,,,
,,,,,162,5.0,5,,,,,,
,,,,,165,3.0,3,,,,,,
,,,,,176,11.0,11,,,,,,
,,,,,179,3.0,3,,,,,,
,,,,,182,3.0,3,,,,,,
,,,,,185,3.0,3,,,,,,
,,,,,188,3.0,3,,,,,,
,,,,,193,5.0,5,,,,,,
,,,,,201,8.0,8,,,,,,
,,,,,210,9.0,9,,,,,,
,,,,,213,3.0,3,,,,,,
,,,,,217,4.0,4,,,,,,
,,,,,222,5.0,5,,,,,,
,,,,,234,12.0,12,,,,,,
,,,,,239,5.0,5,,,,,,
,,,,,242,3.0,3,,,,,,
,,,,,253,11.0,11,,,,,,
,,,,,261,8.0,8,,,,,,
,,,,,264,3.0,3,,,,,,
,,,,,267,3.0,3,,,,,,
,,,,,271,4.0,4,,,,,,
,,,,,280,9.0,9,,,,,,
,,,,,285,5.0,5,,,,,,
,,,,,292,7.0,7,,,,,,
,,,,,300,8.0,8,,,,,,
,,,,,309,9.0,9,,,,,,
,,,,,319,10.0,10,,,,,,
,,,,,322,3.0,3,,,,,,
,,,,,330,8.0,8,,,,,,
,,,,,334,4.0,4,,,,,,
,,,,,338,4.0,4,,,,,,
,,,,,343,5.0,5,,,,,,
,,,,,346,3.0,3,,,,,,
