Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-902.3405,347.1845,-424.2174,-1724.4404,108.2,0,,,,,,,,
,,,,,89,-128.87952,90,,,,,,
,,,,,154,-80.64314,65,,,,,,
,,,,,228,-104.749245,74,,,,,,
,,,,,301,-113.096634,73,,,,,,
,,,,,393,-115.4641,92,,,,,,
,,,,,469,-268.06268,76,,,,,,
,,,,,558,-115.50337,89,,,,,,
,,,,,623,-151.17789,65,,,,,,
,,,,,709,-132.84357,86,,,,,,
,,,,,767,-88.53901,58,,,,,,
,,,,,830,-64.41484,63,,,,,,
,,,,,891,-71.64627,61,,,,,,
,,,,,951,-128.83006,60,,,,,,
,,,,,1021,-184.11783,70,,,,,,
,,,,,1102,-109.6345,81,,,,,,
,,,,,1178,-133.69376,76,,,,,,
,,,,,1235,-75.957245,57,,,,,,
,,,,,1296,-106.16013,61,,,,,,
,,,,,1379,-203.79517,83,,,,,,
,,,,,1442,-79.61128,63,,,,,,
,,,,,1506,-100.76995,64,,,,,,
,,,,,1599,-146.40575,93,,,,,,
,,,,,1688,-314.16702,89,,,,,,
,,,,,1754,-80.27746,66,,,,,,
,,,,,1841,-283.21075,87,,,,,,
,,,,,1929,-284.16953,88,,,,,,
,,,,,2001,-44.06762,72,,,,,,
,,,,,2063,-160.74872,62,,,,,,
,,,,,2138,-106.59559,75,,,,,,
,,,,,2192,-152.63118,54,,,,,,
,,,,,2251,-65.93683,59,,,,,,
,,,,,2333,-95.634155,82,,,,,,
,,,,,2401,-307.2291,68,,,,,,
,,,,,2468,-124.23347,67,,,,,,
,,,,,2556,-125.66457,88,,,,,,
,,,,,2645,-82.11232,89,,,,,,
,,,,,2725,-132.84604,80,,,,,,
,,,,,2782,-236.59029,57,,,,,,
,,,,,2850,-131.43999,68,,,,,,
,,,,,2936,-139.6397,86,,,,,,
,,,,,2992,-99.76552,56,,,,,,
,,,,,3056,-118.139275,64,,,,,,
,,,,,3147,-179.06433,91,,,,,,
,,,,,3245,-169.76242,98,,,,,,
,,,,,3323,-91.56706,78,,,,,,
,,,,,3386,-64.97098,63,,,,,,
,,,,,3481,-104.86699,95,,,,,,
,,,,,3583,-346.96024,102,,,,,,
,,,,,3664,-176.75037,81,,,,,,
,,,,,3751,-142.64223,87,,,,,,
,,,,,3821,-147.21141,70,,,,,,
,,,,,3879,-57.28928,58,,,,,,
,,,,,3941,-207.46844,62,,,,,,
,,,,,4014,-386.43365,73,,,,,,
,,,,,4103,-243.91936,89,,,,,,
,,,,,4165,-118.75531,62,,,,,,
,,,,,4224,-190.9201,59,,,,,,
,,,,,4280,-248.83046,56,,,,,,
,,,,,4368,-109.96527,88,,,,,,
,,,,,4449,-302.09436,81,,,,,,
,,,,,4536,-218.57526,87,,,,,,
,,,,,4614,-111.73603,78,,,,,,
,,,,,4689,-132.91287,75,,,,,,
,,,,,4752,-79.55026,63,,,,,,
,,,,,4812,-108.7146,60,,,,,,
,,,,,4881,-104.01168,69,,,,,,
,,,,,4968,-221.55023,87,,,,,,
,,,,,5029,-115.506714,61,,,,,,
,,,,,5095,-109.911156,66,,,,,,
,,,,,5196,-142.5404,101,,,,,,
,,,,,5262,-173.46704,66,,,,,,
,,,,,5359,-92.66797,97,,,,,,
,,,,,5430,-156.75589,71,,,,,,
,,,,,5511,-134.8425,81,,,,,,
,,,,,5581,-244.5351,70,,,,,,
,,,,,5649,-101.77194,68,,,,,,
,,,,,5735,-127.14702,86,,,,,,
,,,,,5818,-100.50234,83,,,,,,
,,,,,5889,-111.52255,71,,,,,,
,,,,,5984,-181.55011,95,,,,,,
,,,,,6059,-125.24317,75,,,,,,
,,,,,6150,14.262283,91,,,,,,
,,,,,6215,-122.22507,65,,,,,,
,,,,,6304,-109.300354,89,,,,,,
,,,,,6395,-112.26312,91,,,,,,
,,,,,6496,-118.12104,101,,,,,,
,,,,,6592,-109.92368,96,,,,,,
,,,,,6675,-116.66436,83,,,,,,
,,,,,6754,-136.8905,79,,,,,,
,,,,,6830,-136.74146,76,,,,,,
,,,,,6891,-216.85217,61,,,,,,
,,,,,6959,1.7232361,68,,,,,,
,,,,,7020,-147.44,61,,,,,,
,,,,,7080,-91.156555,60,,,,,,
,,,,,7135,-169.48341,55,,,,,,
,,,,,7202,-101.41029,67,,,,,,
,,,,,7283,-105.22257,81,,,,,,
,,,,,7341,-105.36479,58,,,,,,
,,,,,7431,-120.16609,90,,,,,,
,,,,,7528,-98.691414,97,,,,,,
,,,,,7607,-106.75516,79,,,,,,
,,,,,7668,-100.0824,61,,,,,,
,,,,,7729,-142.80638,61,,,,,,
,,,,,7787,-130.76431,58,,,,,,
,,,,,7856,-126.7404,69,,,,,,
,,,,,7918,-71.32086,62,,,,,,
,,,,,7978,17.93042,60,,,,,,
,,,,,8044,-58.358326,66,,,,,,
,,,,,8162,-421.962,118,,,,,,
,,,,,8232,-139.28534,70,,,,,,
,,,,,8324,-231.75113,92,,,,,,
,,,,,8398,-147.76715,74,,,,,,
,,,,,8460,-97.09448,62,,,,,,
,,,,,8523,-127.81256,63,,,,,,
,,,,,8596,-124.44267,73,,,,,,
,,,,,8667,-124.60518,71,,,,,,
,,,,,8731,-63.51853,64,,,,,,
,,,,,8814,-117.990814,83,,,,,,
,,,,,8889,-97.3125,75,,,,,,
,,,,,8960,-110.92236,71,,,,,,
,,,,,9019,-123.36826,59,,,,,,
,,,,,9131,7.862602,112,,,,,,
,,,,,9215,-133.42612,84,,,,,,
,,,,,9281,-149.10098,66,,,,,,
,,,,,9340,-114.27449,59,,,,,,
,,,,,9426,-187.04164,86,,,,,,
,,,,,9515,-99.95256,89,,,,,,
,,,,,9596,-10.4594345,81,,,,,,
,,,,,9658,-130.37509,62,,,,,,
,,,,,9745,-162.73679,87,,,,,,
-805.2784,252.687,-421.80197,-1267.357,97.4,10000,,,,,,,,
,,,,,10745,41.205208,1000,,,,,,
,,,,,10804,-75.74898,59,,,,,,
,,,,,10883,-203.24736,79,,,,,,
,,,,,10944,-97.58782,61,,,,,,
,,,,,11029,-182.23895,85,,,,,,
,,,,,11089,-139.8183,60,,,,,,
,,,,,11182,-130.1215,93,,,,,,
,,,,,11257,-138.65541,75,,,,,,
,,,,,11350,-221.2518,93,,,,,,
,,,,,11429,-153.38617,79,,,,,,
,,,,,11482,-92.70992,53,,,,,,
,,,,,11576,-144.44324,94,,,,,,
,,,,,11697,-512.7174,121,,,,,,
,,,,,11773,-101.723755,76,,,,,,
,,,,,11832,-100.57882,59,,,,,,
,,,,,11913,-158.19308,81,,,,,,
,,,,,11977,-105.84532,64,,,,,,
,,,,,12066,-273.8382,89,,,,,,
,,,,,12144,-86.35924,78,,,,,,
,,,,,12238,-94.65294,94,,,,,,
,,,,,12316,-137.38043,78,,,,,,
,,,,,12369,-161.05328,53,,,,,,
,,,,,12444,-130.8224,75,,,,,,
,,,,,12523,-128.72565,79,,,,,,
,,,,,12621,-77.4131,98,,,,,,
