Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-610.52515,157.47423,-416.84512,-913.4097,91.6,0,,,,,,,,
,,,,,76,-93.36861,77,,,,,,
,,,,,134,-74.89131,58,,,,,,
,,,,,191,-150.82913,57,,,,,,
,,,,,299,-145.44774,108,,,,,,
,,,,,387,-127.82355,88,,,,,,
,,,,,478,-231.48776,91,,,,,,
,,,,,575,-94.01829,97,,,,,,
,,,,,636,-173.00467,61,,,,,,
,,,,,724,-85.192566,88,,,,,,
,,,,,801,-113.01207,77,,,,,,
,,,,,856,-164.03287,55,,,,,,
,,,,,930,-100.02351,74,,,,,,
,,,,,998,-92.71086,68,,,,,,
,,,,,1096,-323.93536,98,,,,,,
,,,,,1173,-226.25822,77,,,,,,
,,,,,1229,-70.41207,56,,,,,,
,,,,,1297,-154.15973,68,,,,,,
,,,,,1393,-118.41147,96,,,,,,
,,,,,1443,-77.51053,50,,,,,,
,,,,,1507,-180.7244,64,,,,,,
,,,,,1565,-92.21883,58,,,,,,
,,,,,1644,-108.6295,79,,,,,,
,,,,,1718,-159.68982,74,,,,,,
,,,,,1801,-211.58734,83,,,,,,
,,,,,1894,-95.23819,93,,,,,,
,,,,,1991,-144.73033,97,,,,,,
,,,,,2049,-128.18617,58,,,,,,
,,,,,2132,-121.72562,83,,,,,,
,,,,,2244,-124.34796,112,,,,,,
,,,,,2320,-131.84315,76,,,,,,
,,,,,2375,-50.990707,55,,,,,,
,,,,,2470,-149.17213,95,,,,,,
,,,,,2533,-107.51847,63,,,,,,
,,,,,2596,-44.927254,63,,,,,,
,,,,,2651,-89.16211,55,,,,,,
,,,,,2731,-140.78539,80,,,,,,
,,,,,2792,-86.59426,61,,,,,,
,,,,,2887,-221.06313,95,,,,,,
,,,,,2948,-109.2056,61,,,,,,
,,,,,3026,-89.27855,78,,,,,,
,,,,,3104,-335.14532,78,,,,,,
,,,,,3196,-110.78264,92,,,,,,
,,,,,3251,-93.137024,55,,,,,,
,,,,,3339,-198.92197,88,,,,,,
,,,,,3433,-175.40646,94,,,,,,
,,,,,3505,-121.234985,72,,,,,,
,,,,,3598,-254.10489,93,,,,,,
,,,,,3658,-112.453476,60,,,,,,
,,,,,3751,-96.11094,93,,,,,,
,,,,,3805,-110.75601,54,,,,,,
,,,,,3891,-93.24414,86,,,,,,
,,,,,3965,-114.772385,74,,,,,,
,,,,,4061,-325.43182,96,,,,,,
,,,,,4153,-199.0467,92,,,,,,
,,,,,4226,-92.8469,73,,,,,,
,,,,,4322,-243.39369,96,,,,,,
,,,,,4375,-113.203445,53,,,,,,
,,,,,4433,-273.96387,58,,,,,,
,,,,,4493,-87.60701,60,,,,,,
,,,,,4562,-117.32603,69,,,,,,
,,,,,4616,-87.02507,54,,,,,,
,,,,,4689,-193.78377,73,,,,,,
,,,,,4804,-178.83047,115,,,,,,
,,,,,4891,-104.28873,87,,,,,,
,,,,,4986,-220.8126,95,,,,,,
,,,,,5071,-99.62103,85,,,,,,
,,,,,5165,-227.23593,94,,,,,,
,,,,,5230,-141.39874,65,,,,,,
,,,,,5315,-79.263,85,,,,,,
,,,,,5391,-88.74032,76,,,,,,
