Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
60.0,0.0,60.0,60.0,1930.0,0,,,,,,,,
,,,,,376,150.0,1522,,,,,,
,,,,,854,210.0,1930,,,,,,
,,,,,1416,180.0,2250,,,,,,
,,,,,1896,190.0,1938,,,,,,
,,,,,2459,200.0,2258,,,,,,
,,,,,2974,270.0,2074,,,,,,
,,,,,3510,210.0,2154,,,,,,
,,,,,3923,210.0,1674,,,,,,
,,,,,4408,180.0,1946,,,,,,
,,,,,4854,200.0,1802,,,,,,
,,,,,5317,210.0,1882,,,,,,
,,,,,5835,300.0,2082,,,,,,
,,,,,6456,300.0,2506,,,,,,
,,,,,6953,250.0,2010,,,,,,
,,,,,7387,210.0,1746,,,,,,
,,,,,7913,230.0,2130,,,,,,
,,,,,8427,210.0,2074,,,,,,
,,,,,8956,170.0,2122,,,,,,
,,,,,9432,190.0,1930,,,,,,
60.0,0.0,60.0,60.0,1930.0,10000,,,,,,,,
,,,,,10025,260.0,2386,,,,,,
,,,,,10542,290.0,2098,,,,,,
,,,,,11052,210.0,2050,,,,,,
,,,,,11498,190.0,1786,,,,,,
,,,,,12022,260.0,2114,,,,,,
,,,,,12486,260.0,1882,,,,,,
,,,,,12989,160.0,2034,,,,,,
,,,,,13491,330.0,2010,,,,,,
,,,,,13971,230.0,1922,,,,,,
,,,,,14499,250.0,2122,,,,,,
,,,,,14989,160.0,1978,,,,,,
,,,,,15428,230.0,1778,,,,,,
,,,,,15936,220.0,2050,,,,,,
,,,,,16374,280.0,1778,,,,,,
,,,,,16789,220.0,1682,,,,,,
,,,,,17355,310.0,2274,,,,,,
,,,,,17857,180.0,2026,,,,,,
,,,,,18262,190.0,1626,,,,,,
,,,,,18669,220.0,1650,,,,,,
,,,,,19120,170.0,1826,,,,,,
,,,,,19533,230.0,1658,,,,,,
,,,,,19966,210.0,1746,,,,,,
182.0,73.32121,230.0,70.0,2967.6,20000,,,3.1587705612182617,-0.006269574165344238,0.3566274046897888,0.89313805103302,1.0,0.0001
,,,,,20548,430.0,2338,,,,,,
,,,,,21000,,,8.789152145385742,0.31547224521636963,0.8873796463012695,3.870142698287964,0.9979375,0.0001
,,,,,21056,330.0,2058,,,,,,
,,,,,21461,270.0,1626,,,,,,
,,,,,21887,200.0,1730,,,,,,
,,,,,22000,,,5.934381484985352,0.7100576758384705,0.6657353043556213,5.337512016296387,0.995875,0.0001
,,,,,22384,250.0,1994,,,,,,
,,,,,22923,260.0,2170,,,,,,
,,,,,23000,,,3.180936813354492,1.141789436340332,1.039069414138794,6.317806720733643,0.9938125,0.0001
,,,,,23420,240.0,1994,,,,,,
,,,,,23973,310.0,2234,,,,,,
,,,,,24000,,,0.39846211671829224,1.6913155317306519,1.1062231063842773,12.569887161254883,0.99175,0.0001
,,,,,24502,190.0,2130,,,,,,
,,,,,24886,110.0,1546,,,,,,
,,,,,25000,,,3.3164873123168945,2.650435447692871,2.432316303253174,12.018261909484863,0.9896875,0.0001
,,,,,25314,170.0,1722,,,,,,
,,,,,26000,,,2.8488669395446777,2.1685636043548584,2.419234275817871,11.996455192565918,0.987625,0.0001
,,,,,26090,400.0,3106,,,,,,
,,,,,26508,260.0,1674,,,,,,
,,,,,27000,,,10.328958511352539,3.2704081535339355,3.870422840118408,35.58356475830078,0.9855625,0.0001
,,,,,27071,290.0,2266,,,,,,
,,,,,27597,270.0,2106,,,,,,
,,,,,27936,70.0,1378,,,,,,
